STRATEGIC_CITY_NAME,POSTAL_CODE,total_service_count,peak_daily_service_count,active_service_days,latitude,longitude,engineer_count,service_day_count,service_count,region_seq,region_id,distance_to_region_center_km,required_sm_count,max_radius_km,avg_radius_km,service_gap_pct
"Atlanta, GA",30002,1,1,1,33.77527913,-84.26758078,1,60,0.02,1,atlanta_ga_r01,15.709398196383047,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30004,39,5,24,34.13623280677778,-84.28752710440277,2,60,0.65,1,atlanta_ga_r01,24.530205614546198,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30005,14,3,11,34.08026460772727,-84.20755183045455,1,60,0.23,1,atlanta_ga_r01,18.92715207274916,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30008,6,1,6,33.88532468333333,-84.58878952166667,1,60,0.1,1,atlanta_ga_r01,30.21025880013647,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30009,9,2,7,34.075660312857146,-84.30379891999999,1,60,0.15,1,atlanta_ga_r01,18.079207334611517,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30011,7,2,6,34.047087785,-83.84328699833333,1,60,0.12,1,atlanta_ga_r01,41.386821751973685,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30012,3,2,2,33.663595490000006,-84.00682699250001,2,60,0.05,1,atlanta_ga_r01,36.798090614489745,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30013,10,1,10,33.616729016,-83.985829911,1,60,0.17,1,atlanta_ga_r01,42.07848975640759,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30014,7,1,7,33.598941534285714,-83.86763904428572,1,60,0.12,1,atlanta_ga_r01,50.8634714763114,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30016,16,2,15,33.536166406666666,-83.932060585,1,60,0.27,1,atlanta_ga_r01,52.23914653366605,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30017,5,1,5,33.881314816,-83.96739211799999,1,60,0.08,1,atlanta_ga_r01,27.61906939137503,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30019,28,2,23,34.00008027,-83.89440661326087,2,60,0.47,1,atlanta_ga_r01,35.29753748607784,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30021,2,1,2,33.810108995,-84.23564547000001,1,60,0.03,1,atlanta_ga_r01,12.110910242983499,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30022,34,3,22,34.031667973257576,-84.24158221136364,2,60,0.57,1,atlanta_ga_r01,12.96427782871255,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30024,41,4,24,34.07343873260417,-84.10237449520834,3,60,0.68,1,atlanta_ga_r01,22.92238664150163,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30025,1,1,1,33.65093614,-83.67318321,1,60,0.02,1,atlanta_ga_r01,62.04601020290567,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30028,23,2,19,34.28392776394737,-84.1781573894737,2,60,0.38,1,atlanta_ga_r01,41.60496259639326,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30030,13,2,11,33.76580891636364,-84.29233281318182,2,60,0.22,1,atlanta_ga_r01,16.966679141559286,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30032,34,8,16,33.735928641875,-84.2888115885,2,60,0.57,1,atlanta_ga_r01,20.215084913487907,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30033,11,2,10,33.8131741775,-84.2896483005,1,60,0.18,1,atlanta_ga_r01,11.739988022465239,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30034,13,3,11,33.69299612151515,-84.2519404869697,2,60,0.22,1,atlanta_ga_r01,24.87801581930366,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30035,6,1,6,33.72853648833333,-84.20366307666667,1,60,0.1,1,atlanta_ga_r01,21.624060196132405,8,113.79359851182213,41.20003056831532,97.06
"Atlanta, GA",30038,11,2,10,33.674383849,-84.1604690475,2,60,0.18,1,atlanta_ga_r01,28.56166118178088,8,113.79359851182213,41.20003056831532,97.06
