STRATEGIC_CITY_NAME,region_id,region_seq,postal_count,service_count,peak_daily_service_count,centroid_latitude,centroid_longitude,avg_slot_capacity,required_sm_count,target_sm_per_region,algorithm,target_service_per_region,service_per_required_sm,service_gap_vs_target,service_gap_pct,max_radius_km,avg_radius_km
"Atlanta, GA",atlanta_ga_r01,1,183,35.81,346,33.916518862690225,-84.2636212269539,5.0,8,5,balanced,18.18,4.48,17.64,97.06,113.79359851182213,41.20003056831532
"Atlanta, GA",atlanta_ga_r02,2,8,0.54,10,33.648258144673285,-84.91842462086198,5.0,1,5,balanced,18.18,0.54,-17.64,-97.06,59.2621605339013,22.57910012171358
"Dallas, TX",dallas_tx_r01,1,198,38.79,436,32.92101968431956,-96.95167624594076,5.0,8,5,balanced,19.95,4.85,18.84,94.41,80.60760106653709,31.72956006120948
"Dallas, TX",dallas_tx_r02,2,21,0.9500000000000001,28,32.57277931861667,-97.39800886966052,5.0,1,5,balanced,19.95,0.95,-19.0,-95.21,59.07705559325237,22.63558928141279
"Las Vegas, NV",las_vegas_nv_r01,1,59,17.55,171,36.12876341724445,-115.17959427600844,5.0,4,5,balanced,17.51,4.39,0.04,0.23,35.81712093853938,13.080881142259372
"Los Angeles, CA",los_angeles_ca_r01,1,18,41.9,268,34.09001824734275,-117.47400024584933,5.0,9,5,balanced,22.33,4.66,19.57,87.65,65.56452454403089,28.8350497253587
"Los Angeles, CA",los_angeles_ca_r02,2,6,1.25,17,34.30703670331518,-118.91207970704568,5.0,1,5,balanced,22.33,1.25,-21.08,-94.41,36.870762976402965,19.77391428300743
"Los Angeles, CA",los_angeles_ca_r03,3,2,0.74,8,33.86942890419624,-118.28936726295828,5.0,1,5,balanced,22.33,0.74,-21.59,-96.69,14.202623083867417,9.914240881296045
"Los Angeles, CA",los_angeles_ca_r04,4,164,31.65,326,33.90542386989946,-117.79228954524643,5.0,7,5,balanced,22.33,4.52,9.32,41.74,60.063811034516114,29.79300571181431
"Los Angeles, CA",los_angeles_ca_r05,5,178,36.13,393,34.06468521744448,-118.35523635619677,5.0,8,5,balanced,22.33,4.52,13.8,61.81,56.245535894640916,17.539497650664273
"New Jersey, NJ",new_jersey_nj_r01,1,1,3.43,20,40.1297654956102,-75.40886638347689,5.0,1,5,balanced,21.25,3.43,-17.82,-83.86,1.0816196128321164e-12,1.0816196128321164e-12
"New Jersey, NJ",new_jersey_nj_r02,2,246,32.65,408,40.78088259184621,-73.52964558005826,5.0,7,5,balanced,21.25,4.66,11.4,53.65,104.62878602326023,32.10828560523859
"New Jersey, NJ",new_jersey_nj_r03,3,189,36.79,377,40.670358873122176,-74.07171788554437,5.0,8,5,balanced,21.25,4.6,15.54,73.13,50.371970379956174,18.959808122110157
"New Jersey, NJ",new_jersey_nj_r04,4,236,33.37,476,40.156110346868275,-74.73624241667838,5.0,7,5,balanced,21.25,4.77,12.12,57.04,64.97089877526756,38.50444347348844
"New Jersey, NJ",new_jersey_nj_r05,5,6,0.32,6,41.010371273625,-72.20841344408335,5.0,1,5,balanced,21.25,0.32,-20.93,-98.49,21.88878494316672,11.64275686969828
"North Jersey, NJ",north_jersey_nj_r01,1,120,17.98,209,40.91246653765643,-74.23451004882557,5.0,4,5,balanced,17.92,4.5,0.06,0.33,61.634884681260054,23.605405230461937
"Philadelphia, PA",philadelphia_pa_r01,1,88,12.32,141,39.76091948055169,-75.40634284808631,5.0,3,5,balanced,12.33,4.11,-0.01,-0.08,84.81915148449451,33.82863792858077
"San Diego, CA",san_diego_ca_r01,1,83,23.09,189,32.90288178958564,-117.12526769142166,5.0,5,5,balanced,23.05,4.62,0.04,0.17,74.15328774237169,23.823805656612688
"Tampa, FL",tampa_fl_r01,1,92,23.4,218,28.053759954265647,-82.42700380973392,5.0,5,5,balanced,23.37,4.68,0.03,0.13,62.9282182574899,26.123969974228153
"Washington, DC",washington_dc_r01,1,133,25.81,284,38.92701310872887,-77.2325287261157,5.0,6,5,balanced,13.3,4.3,12.51,94.06,75.09863798706162,23.003439942370814
"Washington, DC",washington_dc_r02,2,18,0.83,19,38.83742714129719,-76.94360423646987,5.0,1,5,balanced,13.3,0.83,-12.47,-93.76,24.50456529297087,11.329455695528075
