scenario,STRATEGIC_CITY_NAME,service_day_count,avg_daily_service_count,avg_daily_distance_km,avg_daily_duration_min,avg_daily_deployed_sm,avg_jobs_per_sm,avg_jobs_per_sm_std,avg_distance_per_sm_km,avg_duration_per_sm_min
current,"Atlanta, GA",56,32.75,397.02,476.43,11.07,2.58,1.25,29.89,35.87
current,"Dallas, TX",63,35.79,316.63,379.96,11.48,2.61,1.42,21.85,26.22
current,"Las Vegas, NV",63,16.4,112.61,135.13,5.08,2.92,1.36,20.51,24.62
current,"Los Angeles, CA",68,70.4,457.31,548.77,24.22,2.52,1.36,15.12,18.14
current,"New Jersey, NJ",61,78.7,727.05,872.45,24.64,2.77,3.14,23.95,28.74
current,"North Jersey, NJ",48,15.23,105.22,126.27,5.02,2.87,1.8,20.88,25.06
current,"Philadelphia, PA",55,9.45,83.86,100.63,3.73,2.52,1.28,21.34,25.61
current,"San Diego, CA",54,17.33,109.62,131.54,5.5,3.28,1.2,19.99,23.99
current,"Tampa, FL",54,21.43,143.07,171.68,5.61,3.54,1.57,23.89,28.67
current,"Washington, DC",55,22.13,174.48,209.38,6.51,3.25,1.89,25.09,30.1
integrated,"Atlanta, GA",56,32.75,475.06,570.07,7.39,3.92,2.01,59.72,71.67
integrated,"Dallas, TX",63,35.79,399.17,479.0,7.9,3.87,1.96,46.9,56.28
integrated,"Las Vegas, NV",63,16.4,118.08,141.69,3.73,3.93,1.62,30.42,36.51
integrated,"Los Angeles, CA",68,70.4,804.21,965.05,15.13,3.92,2.07,46.92,56.3
integrated,"New Jersey, NJ",61,78.7,918.95,1102.74,17.18,4.01,2.08,49.12,58.94
integrated,"North Jersey, NJ",48,15.23,134.12,160.94,3.52,4.0,1.77,37.23,44.67
integrated,"Philadelphia, PA",55,9.45,125.24,150.28,2.25,3.96,1.44,57.0,68.4
integrated,"San Diego, CA",54,17.33,153.17,183.8,3.87,4.16,1.95,36.66,43.99
integrated,"Tampa, FL",54,21.43,207.52,249.02,4.76,4.17,1.98,43.3,51.96
integrated,"Washington, DC",55,22.13,214.08,256.89,4.82,4.36,2.2,42.71,51.25
