CORPORATION_CODE,SERVICE_PRODUCT_GROUP_CODE,SVC_PRODUCT_GROUP_NAME,SERVICE_PRODUCT_CODE,SVC_PRODUCT_NAME,NOTI_TYPE_DESC,SYMP_CODE_ONE,SYMP_NAME_ONE,SYMP_CODE_TWO,SYMP_NAME_TWO,SYMP_CODE_THREE,SYMP_NAME_THREE
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,1GG,Cooling Performance,1GGGV,Freezer Issue,1GGGVGZ,Freezer: Not Cooling
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,1GG,Cooling Performance,1GGGV,Freezer Issue,1GGGVGA,Freezer: Weak Cooling
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,1GG,Cooling Performance,1GGGV,Freezer Issue,1GGGVGB,Entire Unit: Not Cooling
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,1GG,Cooling Performance,1GGGW,Refrigerator,1GGGWGD,Refrigerator: Week Cooling
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,1GG,Cooling Performance,1GGGW,Refrigerator,1GGGWGC,Refrigerator: Not Cooling
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Ice&Water GSGS,3AA,Ice/Water Dispenser,3AAAA,Water Dispenser,3AAAAAG,Water Not Dispensing Continuously
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Ice&Water GSGS,3AA,Ice/Water Dispenser,3AAAA,Water Dispenser,3AAAAAE,Water doesn’t dispense
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Ice&Water GSGS,3AA,Ice/Water Dispenser,3AAAA,Water Dispenser,3AAAAAH,Water doesn’t stop dispensing
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,8ST,ThinQ Care,8STAA,Cooling,8STAAAA,Refrigerant Leak
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,8ST,ThinQ Care,8STAA,Cooling,8STAAAC,Moisture Blockage
LGEAP,REF,Refrigerator,REF,Top/Bottom Freezer,Dispatch REF  Cooling,8ST,ThinQ Care,8STAA,Cooling,8STAAAD,Cycle Blockage
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Cooling,1FF,Cooling Performance,1FFFV,Freezer Issue,1FFFVFF,Freezer: Not Cooling
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Cooling,1FF,Cooling Performance,1FFFV,Freezer Issue,1FFFVFG,Freezer: Weak Cooling
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Cooling,1FF,Cooling Performance,1FFFV,Freezer Issue,1FFFVFH,Entire Unit: Not Cooling
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Cooling,1FF,Cooling Performance,1FFFW,Refrigerator,1FFFWFI,Refrigerator: Week Cooling
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Cooling,1FF,Cooling Performance,1FFFW,Refrigerator,1FFFWFJ,Refrigerator: Not Cooling
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Ice&Water GSGS,3II,Ice/Water Dispenser,3IIIE,Water Dispenser,3IIIEID,Water doesn’t dispense
LGEAP,REF,Refrigerator,SBS,Side by Side,Dispatch REF  Ice&Water GSGS,3II,Ice/Water Dispenser,3IIIE,Water Dispenser,3IIIEIF,Water Not Dispensing Continuously
