SVC_ENGINEER_CODE,job_count_base,service_time_min_base,route_distance_km_base,route_duration_min_base,total_work_min_base,job_count_fair,service_time_min_fair,route_distance_km_fair,route_duration_min_fair,total_work_min_fair,job_delta,distance_delta_km,duration_delta_min
40324200,5,225.0,153.14,169.57,394.57,5,225.0,100.5,118.79,343.79,0,-52.64,-50.78
AI005576,1,100.0,22.08,22.64,122.64,4,290.0,67.98,89.27,379.27,3,45.9,66.63
AI102087,3,190.0,57.29,69.92,259.92,2,145.0,31.32,39.91,184.91,-1,-25.97,-30.01
AI102315,4,180.0,69.91,81.86,261.86,5,225.0,105.65,114.45,339.45,1,35.74,32.59
AI102448,2,90.0,75.27,80.19,170.19,2,90.0,25.08,32.74,122.74,0,-50.19,-47.45
AI102608,4,180.0,45.52,55.02,235.02,3,135.0,60.03,67.67,202.67,-1,14.51,12.65
AI102933,4,290.0,64.08,87.0,377.0,5,280.0,90.81,104.53,384.53,1,26.73,17.53
AI102961,3,190.0,81.33,92.92,282.92,2,145.0,71.73,73.82,218.82,-1,-9.6,-19.1
AI102977,4,180.0,36.5,48.19,228.19,5,225.0,42.98,57.99,282.99,1,6.48,9.8
AI103128,3,245.0,78.97,88.67,333.67,3,245.0,78.97,88.67,333.67,0,0.0,0.0
AI103146,3,135.0,53.88,64.72,199.72,3,135.0,53.73,63.59,198.59,0,-0.15,-1.13
AI103261,3,135.0,73.5,79.19,214.19,4,235.0,124.36,134.14,369.14,1,50.86,54.95
AI103264,3,135.0,116.72,111.34,246.34,3,135.0,25.69,37.15,172.15,0,-91.03,-74.19
AI103317,4,235.0,84.78,100.58,335.58,4,180.0,148.03,150.48,330.48,0,63.25,49.9
AI105115,5,225.0,263.39,264.24,489.24,1,45.0,37.44,40.69,85.69,-4,-225.95,-223.55
AI105116,4,180.0,79.42,102.85,282.85,4,180.0,97.84,116.1,296.1,0,18.42,13.25
JMOTOS2,5,225.0,58.28,69.27,294.27,5,225.0,63.01,78.76,303.76,0,4.73,9.49
