SVC_ENGINEER_CODE,job_count_line,route_distance_km_line,route_duration_min_line,total_work_min_line,job_count_osrm,route_distance_km_osrm,route_duration_min_osrm,total_work_min_osrm,job_delta,distance_delta_km,duration_delta_min
40324200,5,153.14,169.57,394.57,5,131.9,147.2,372.2,0,-21.24,-22.37
AI005576,1,22.08,22.64,122.64,3,44.2,54.72,299.72,2,22.12,32.08
AI102087,2,35.98,42.15,187.15,3,40.49,50.01,185.01,1,4.51,7.86
AI102315,5,105.65,114.45,339.45,5,110.87,124.73,404.73,0,5.22,10.28
AI102448,2,75.27,80.19,170.19,2,36.27,45.67,190.67,0,-39.0,-34.52
AI102608,5,90.92,100.4,325.4,5,58.55,76.05,301.05,0,-32.37,-24.35
AI102933,4,64.08,87.0,377.0,5,73.12,93.35,373.35,1,9.04,6.35
AI102961,2,71.73,73.82,218.82,3,72.24,79.35,214.35,1,0.51,5.53
AI102977,4,36.5,48.19,228.19,4,42.88,62.44,242.44,0,6.38,14.25
AI103128,3,78.97,88.67,333.67,5,128.88,135.71,470.71,2,49.91,47.04
AI103146,3,53.88,64.72,199.72,2,26.05,31.33,121.33,-1,-27.83,-33.39
AI103261,3,73.5,79.19,214.19,4,134.71,140.79,320.79,1,61.21,61.6
AI103264,3,25.69,37.15,172.15,1,4.64,8.26,53.26,-2,-21.05,-28.89
AI103317,4,84.78,100.58,335.58,2,54.77,57.63,202.63,-2,-30.01,-42.95
AI105115,5,263.39,264.24,489.24,4,162.04,164.17,344.17,-1,-101.35,-100.07
AI105116,4,79.42,102.85,282.85,2,64.03,72.94,162.94,-2,-15.39,-29.91
JMOTOS2,5,58.28,69.27,294.27,5,61.47,75.39,300.39,0,3.19,6.12
