GSFS_RECEIPT_NO,assigned_sm_code_line,assigned_sm_code_osrm,changed
RNN251229016310,AI102448,AI105116,True
RNN260108067024,AI103128,AI102315,True
RNN260109074036,AI105116,40324200,True
RNN260112079004,AI103317,AI005576,True
RNN260113086403,AI105116,40324200,True
RNN260113087604,AI102961,AI103128,True
RNN260113091944,AI102933,AI005576,True
RNN26011377351B,AI105115,AI103261,True
RNN260114095451,AI102315,AI103128,True
RNN260114097211,AI102608,AI105116,True
RNN260114098284,AI102608,AI102087,True
RNN260115002059,AI103317,AI102933,True
RNN260115003668,JMOTOS2,AI105115,True
RNN260116007937,AI103317,AI102933,True
RNN260116008774,40324200,AI102977,True
RNN260116009386,40324200,AI102087,True
RNN260116009580,AI105116,JMOTOS2,True
RNN260116009856,AI105115,AI103317,True
RNN26011677946B,AI103264,AI102961,True
RNN260117011273,AI102933,AI103317,True
RNN260117012304,AI103317,AI102933,True
RNN260117012402,AI102608,AI102977,True
RNN260117012534,AI102087,AI102448,True
RNN260117012905,AI105116,AI102977,True
RNN260119015690,AI103264,AI102961,True
RNN260119019605,AI102977,AI102608,True
RNN260119021751,AI103146,AI103128,True
RNN260120022799,AI102977,AI102608,True
RNN260120026392,AI102977,AI102608,True
