SVC_ENGINEER_CODE,job_count_lineassign,route_distance_km_lineassign,route_duration_min_lineassign,total_work_min_lineassign,job_count_osrmassign,route_distance_km_osrmassign,route_duration_min_osrmassign,total_work_min_osrmassign,job_delta,dist_delta,time_delta
40324200,5,153.14,169.57,394.57,5,125.63,127.66,407.66,0,-27.50999999999999,-41.91
AI005576,1,22.08,22.64,122.64,3,62.12,78.26,268.26,2,40.04,55.620000000000005
AI102087,3,57.29,69.92,259.92,3,53.0,65.2,255.2,0,-4.289999999999999,-4.719999999999999
AI102315,4,69.91,81.86,261.86,3,95.69,87.92,222.92,-1,25.78,6.060000000000002
AI102448,2,75.27,80.19,170.19,2,75.27,80.19,170.19,0,0.0,0.0
AI102608,4,45.52,55.02,235.02,4,54.32,68.9,248.9,0,8.799999999999997,13.880000000000003
AI102933,4,64.08,87.0,377.0,5,99.74,116.71,341.71,1,35.66,29.709999999999994
AI102961,3,81.33,92.92,282.92,3,56.81,73.8,263.8,0,-24.519999999999996,-19.120000000000005
AI102977,4,36.5,48.19,228.19,5,54.09,72.88,297.88,1,17.590000000000003,24.689999999999998
AI103128,3,78.97,88.67,333.67,3,72.0,86.7,276.7,0,-6.969999999999999,-1.9699999999999989
AI103146,3,53.88,64.72,199.72,4,62.42,75.02,255.02,1,8.54,10.299999999999997
AI103261,3,73.5,79.19,214.19,3,60.41,62.7,252.7,0,-13.090000000000003,-16.489999999999995
AI103264,3,116.72,111.34,246.34,3,86.21,84.78,219.78,0,-30.510000000000005,-26.560000000000002
AI103317,4,84.78,100.58,335.58,2,78.47,88.1,288.1,-2,-6.310000000000002,-12.480000000000004
AI105115,5,263.39,264.24,489.24,4,176.19,183.56,363.56,-1,-87.19999999999999,-80.68
AI105116,4,79.42,102.85,282.85,4,95.2,115.81,295.81,0,15.780000000000001,12.960000000000008
JMOTOS2,5,58.28,69.27,294.27,4,74.41,90.43,270.43,-1,16.129999999999995,21.16000000000001
