GSFS_RECEIPT_NO,assigned_sm_code_lineassign,assigned_sm_code_osrmassign,changed
RNN260110075974,AI102315,AI103128,True
RNN260111077729,AI105115,JMOTOS2,True
RNN260112081631,JMOTOS2,40324200,True
RNN260113086403,AI105116,40324200,True
RNN260113090898,AI005576,AI103261,True
RNN260113091944,AI102933,AI005576,True
RNN260113092131,40324200,AI103146,True
RNN260114095451,AI102315,AI103264,True
RNN260114097211,AI102087,AI105116,True
RNN260114098284,AI102608,AI102087,True
RNN260114098497,40324200,AI105116,True
RNN260115002059,AI103317,AI102933,True
RNN260115099506,AI103264,AI102315,True
RNN260116006771,AI102315,AI103128,True
RNN260116006922,AI103128,40324200,True
RNN260116007937,AI103317,AI102933,True
RNN260116008117,JMOTOS2,AI005576,True
RNN260116008774,40324200,AI102608,True
RNN260116009385,AI102933,AI103317,True
RNN260116009386,40324200,AI102608,True
RNN260116009856,AI105115,AI102933,True
RNN26011677909B,AI102961,AI102315,True
RNN26011677946B,AI102961,AI103264,True
RNN260117011273,AI102933,AI005576,True
RNN260117012012,JMOTOS2,AI103261,True
RNN260117012304,AI103317,AI102933,True
RNN260117012402,AI102608,40324200,True
RNN260117012905,AI105116,AI102977,True
RNN260117013064,AI103128,AI102961,True
RNN260119015690,AI103264,AI102961,True
RNN260119017529,AI103261,AI105115,True
RNN260209022127,AI103261,JMOTOS2,True
