service_date_key,region_seq,new_region_name,actual_service_count,actual_weighted_job_units,tv_job_count,available_current_dms_count,available_current_dms2_count,available_current_total_count,baseline_capacity_jobs,baseline_capacity_weighted_units,capacity_gap_jobs,capacity_gap_weighted_units,feasible_by_weighted_units
2026-01-01,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-01,3,Atlanta New Region 3,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-02,1,Atlanta New Region 1,5,5.0,1,1,1,2,8,8,3,3.0,True
2026-01-02,2,Atlanta New Region 2,3,3.0,0,0,0,0,0,0,-3,-3.0,False
2026-01-02,3,Atlanta New Region 3,6,6.0,1,0,1,1,4,4,-2,-2.0,False
2026-01-03,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-03,3,Atlanta New Region 3,2,2.0,0,0,0,0,0,0,-2,-2.0,False
2026-01-05,1,Atlanta New Region 1,1,1.0,0,0,1,1,4,4,3,3.0,True
2026-01-05,2,Atlanta New Region 2,7,8.0,1,2,0,2,8,8,1,0.0,True
2026-01-05,3,Atlanta New Region 3,5,5.0,0,1,0,1,4,4,-1,-1.0,False
2026-01-06,1,Atlanta New Region 1,5,7.0,1,2,1,3,12,12,7,5.0,True
2026-01-06,2,Atlanta New Region 2,12,17.0,0,4,0,4,16,16,4,-1.0,False
2026-01-06,3,Atlanta New Region 3,12,14.0,1,2,1,3,12,12,0,-2.0,False
2026-01-07,1,Atlanta New Region 1,5,6.0,1,2,1,3,12,12,7,6.0,True
2026-01-07,2,Atlanta New Region 2,10,14.0,0,4,0,4,16,16,6,2.0,True
2026-01-07,3,Atlanta New Region 3,16,18.0,4,3,0,3,12,12,-4,-6.0,False
2026-01-08,1,Atlanta New Region 1,9,13.0,1,2,1,3,12,12,3,-1.0,False
2026-01-08,2,Atlanta New Region 2,24,30.0,3,5,0,5,20,20,-4,-10.0,False
2026-01-08,3,Atlanta New Region 3,11,13.0,0,4,0,4,16,16,5,3.0,True
2026-01-09,1,Atlanta New Region 1,10,11.0,2,2,1,3,12,12,2,1.0,True
2026-01-09,2,Atlanta New Region 2,6,6.0,0,2,0,2,8,8,2,2.0,True
2026-01-09,3,Atlanta New Region 3,11,13.0,2,3,0,3,12,12,1,-1.0,False
2026-01-10,2,Atlanta New Region 2,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-10,3,Atlanta New Region 3,3,3.0,0,0,0,0,0,0,-3,-3.0,False
2026-01-11,3,Atlanta New Region 3,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-12,1,Atlanta New Region 1,21,30.0,2,4,1,5,20,20,-1,-10.0,False
2026-01-12,2,Atlanta New Region 2,24,29.0,0,5,0,5,20,20,-4,-9.0,False
2026-01-12,3,Atlanta New Region 3,16,18.0,0,3,1,4,16,16,0,-2.0,False
2026-01-13,1,Atlanta New Region 1,25,32.0,0,4,1,5,20,20,-5,-12.0,False
2026-01-13,2,Atlanta New Region 2,23,27.0,0,4,0,4,16,16,-7,-11.0,False
2026-01-13,3,Atlanta New Region 3,12,14.0,2,3,0,3,12,12,0,-2.0,False
2026-01-14,1,Atlanta New Region 1,20,26.0,0,4,1,5,20,20,0,-6.0,False
2026-01-14,2,Atlanta New Region 2,13,15.0,3,5,0,5,20,20,7,5.0,True
2026-01-14,3,Atlanta New Region 3,22,26.0,0,3,0,3,12,12,-10,-14.0,False
2026-01-15,1,Atlanta New Region 1,24,33.0,0,4,1,5,20,20,-4,-13.0,False
2026-01-15,2,Atlanta New Region 2,7,12.0,0,4,0,4,16,16,9,4.0,True
2026-01-15,3,Atlanta New Region 3,17,20.0,0,4,0,4,16,16,-1,-4.0,False
2026-01-16,1,Atlanta New Region 1,23,28.0,0,4,1,5,20,20,-3,-8.0,False
2026-01-16,2,Atlanta New Region 2,16,20.0,0,3,0,3,12,12,-4,-8.0,False
2026-01-16,3,Atlanta New Region 3,16,23.0,0,3,0,3,12,12,-4,-11.0,False
2026-01-17,2,Atlanta New Region 2,1,2.0,0,1,0,1,4,4,3,2.0,True
2026-01-19,1,Atlanta New Region 1,24,26.0,0,4,1,5,20,20,-4,-6.0,False
2026-01-19,2,Atlanta New Region 2,15,18.0,0,4,0,4,16,16,1,-2.0,False
2026-01-19,3,Atlanta New Region 3,24,28.0,0,3,0,3,12,12,-12,-16.0,False
2026-01-20,1,Atlanta New Region 1,21,22.0,1,4,1,5,20,20,-1,-2.0,False
2026-01-20,2,Atlanta New Region 2,18,21.0,1,5,0,5,20,20,2,-1.0,False
2026-01-20,3,Atlanta New Region 3,21,25.0,0,3,0,3,12,12,-9,-13.0,False
2026-01-21,1,Atlanta New Region 1,19,20.0,0,3,1,4,16,16,-3,-4.0,False
2026-01-21,2,Atlanta New Region 2,19,23.0,2,5,0,5,20,20,1,-3.0,False
2026-01-21,3,Atlanta New Region 3,14,16.0,1,2,0,2,8,8,-6,-8.0,False
2026-01-22,1,Atlanta New Region 1,21,22.0,2,2,1,3,12,12,-9,-10.0,False
2026-01-22,2,Atlanta New Region 2,15,16.0,2,5,0,5,20,20,5,4.0,True
2026-01-22,3,Atlanta New Region 3,22,27.0,1,4,0,4,16,16,-6,-11.0,False
2026-01-23,1,Atlanta New Region 1,20,24.0,0,3,1,4,16,16,-4,-8.0,False
2026-01-23,2,Atlanta New Region 2,17,19.0,2,5,0,5,20,20,3,1.0,True
2026-01-23,3,Atlanta New Region 3,9,10.0,0,3,0,3,12,12,3,2.0,True
2026-01-24,1,Atlanta New Region 1,1,1.0,0,0,1,1,4,4,3,3.0,True
2026-01-24,3,Atlanta New Region 3,1,1.0,0,0,0,0,0,0,-1,-1.0,False
2026-01-26,1,Atlanta New Region 1,14,18.0,0,4,0,4,16,16,2,-2.0,False
2026-01-26,2,Atlanta New Region 2,2,2.0,0,2,0,2,8,8,6,6.0,True
2026-01-26,3,Atlanta New Region 3,5,6.0,1,0,0,0,0,0,-5,-6.0,False
2026-01-27,1,Atlanta New Region 1,17,20.0,1,4,1,5,20,20,3,0.0,True
2026-01-27,2,Atlanta New Region 2,21,25.0,0,4,0,4,16,16,-5,-9.0,False
2026-01-27,3,Atlanta New Region 3,18,23.0,1,5,0,5,20,20,2,-3.0,False
2026-01-28,1,Atlanta New Region 1,15,17.0,0,4,1,5,20,20,5,3.0,True
2026-01-28,2,Atlanta New Region 2,16,18.0,0,5,0,5,20,20,4,2.0,True
2026-01-28,3,Atlanta New Region 3,15,17.0,0,5,0,5,20,20,5,3.0,True
2026-01-29,1,Atlanta New Region 1,11,12.0,0,4,1,5,20,20,9,8.0,True
2026-01-29,2,Atlanta New Region 2,12,17.0,0,4,0,4,16,16,4,-1.0,False
2026-01-29,3,Atlanta New Region 3,14,18.0,0,4,0,4,16,16,2,-2.0,False
2026-01-30,1,Atlanta New Region 1,20,25.0,1,4,1,5,20,20,0,-5.0,False
2026-01-30,2,Atlanta New Region 2,21,26.0,2,5,0,5,20,20,-1,-6.0,False
2026-01-30,3,Atlanta New Region 3,18,24.0,0,2,0,2,8,8,-10,-16.0,False
2026-01-31,1,Atlanta New Region 1,1,1.0,0,1,0,1,4,4,3,3.0,True
