service_date_key,actual_service_count,actual_engineer_count,actual_jobs_per_engineer,assigned_service_count,assigned_engineer_count,assigned_jobs_per_engineer,jobs_per_engineer_gap
2026-01-01,2.0,2.0,1.0,2,2,1.0,0.0
2026-01-02,7.0,4.0,1.75,14,9,1.5555555555555556,-0.19444444444444442
2026-01-03,,,,3,3,1.0,
2026-01-05,11.0,5.0,2.2,13,10,1.3,-0.9000000000000001
2026-01-06,25.0,12.0,2.0833333333333335,29,15,1.9333333333333333,-0.15000000000000013
2026-01-07,30.0,13.0,2.3076923076923075,31,15,2.066666666666667,-0.2410256410256406
2026-01-08,38.0,15.0,2.533333333333333,44,16,2.75,0.21666666666666679
2026-01-09,19.0,9.0,2.111111111111111,27,16,1.6875,-0.42361111111111116
2026-01-10,1.0,1.0,1.0,4,3,1.3333333333333333,0.33333333333333326
2026-01-11,,,,1,1,1.0,
2026-01-12,59.0,17.0,3.4705882352941178,61,17,3.588235294117647,0.11764705882352944
2026-01-13,56.0,15.0,3.7333333333333334,60,15,4.0,0.2666666666666666
2026-01-14,50.0,16.0,3.125,55,17,3.235294117647059,0.11029411764705888
2026-01-15,47.0,15.0,3.1333333333333333,48,17,2.823529411764706,-0.30980392156862724
2026-01-16,43.0,13.0,3.3076923076923075,55,17,3.235294117647059,-0.07239819004524861
2026-01-17,1.0,1.0,1.0,1,1,1.0,0.0
2026-01-19,61.0,16.0,3.8125,63,17,3.7058823529411766,-0.10661764705882337
2026-01-20,54.0,17.0,3.176470588235294,60,17,3.5294117647058822,0.3529411764705883
2026-01-21,44.0,14.0,3.142857142857143,52,17,3.0588235294117645,-0.0840336134453783
2026-01-22,54.0,16.0,3.375,58,17,3.411764705882353,0.03676470588235281
2026-01-23,41.0,15.0,2.7333333333333334,46,15,3.066666666666667,0.3333333333333335
2026-01-24,1.0,1.0,1.0,2,2,1.0,0.0
2026-01-26,21.0,8.0,2.625,21,10,2.1,-0.5249999999999999
2026-01-27,52.0,17.0,3.0588235294117645,56,17,3.2941176470588234,0.23529411764705888
2026-01-28,42.0,16.0,2.625,46,16,2.875,0.25
2026-01-29,33.0,15.0,2.2,37,17,2.176470588235294,-0.023529411764706243
2026-01-30,48.0,13.0,3.6923076923076925,59,17,3.4705882352941178,-0.22171945701357476
2026-01-31,1.0,1.0,1.0,1,1,1.0,0.0
2026-02-01,,,,1,1,1.0,
2026-02-02,48.0,13.0,3.6923076923076925,52,17,3.0588235294117645,-0.633484162895928
2026-02-03,60.0,15.0,4.0,64,17,3.764705882352941,-0.23529411764705888
2026-02-04,47.0,13.0,3.6153846153846154,49,17,2.8823529411764706,-0.7330316742081449
2026-02-05,53.0,17.0,3.1176470588235294,58,17,3.411764705882353,0.2941176470588234
2026-02-06,39.0,13.0,3.0,48,17,2.823529411764706,-0.17647058823529393
2026-02-07,7.0,2.0,3.5,8,8,1.0,-2.5
2026-02-09,44.0,15.0,2.933333333333333,45,16,2.8125,-0.12083333333333313
2026-02-10,47.0,17.0,2.764705882352941,50,16,3.125,0.3602941176470589
2026-02-11,41.0,13.0,3.1538461538461537,47,17,2.764705882352941,-0.3891402714932126
2026-02-12,40.0,16.0,2.5,45,16,2.8125,0.3125
2026-02-13,34.0,11.0,3.090909090909091,35,17,2.0588235294117645,-1.0320855614973263
2026-02-14,3.0,2.0,1.5,3,3,1.0,-0.5
2026-02-16,8.0,3.0,2.6666666666666665,12,9,1.3333333333333333,-1.3333333333333333
2026-02-17,63.0,16.0,3.9375,67,17,3.9411764705882355,0.003676470588235503
2026-02-18,42.0,15.0,2.8,43,17,2.5294117647058822,-0.2705882352941176
2026-02-19,55.0,15.0,3.6666666666666665,56,17,3.2941176470588234,-0.37254901960784315
2026-02-20,40.0,15.0,2.6666666666666665,42,16,2.625,-0.04166666666666652
2026-02-21,2.0,2.0,1.0,2,2,1.0,0.0
2026-02-22,1.0,1.0,1.0,1,1,1.0,0.0
2026-02-23,51.0,16.0,3.1875,54,15,3.6,0.4125000000000001
2026-02-24,57.0,17.0,3.3529411764705883,61,17,3.588235294117647,0.23529411764705888
2026-02-25,51.0,15.0,3.4,61,16,3.8125,0.4125000000000001
2026-02-26,43.0,17.0,2.5294117647058822,44,17,2.588235294117647,0.05882352941176494
2026-02-27,45.0,17.0,2.6470588235294117,50,17,2.9411764705882355,0.2941176470588238
2026-02-28,,,,1,1,1.0,
2026-03-02,41.0,14.0,2.9285714285714284,41,17,2.411764705882353,-0.5168067226890756
2026-03-03,1.0,1.0,1.0,7,7,1.0,0.0
2026-03-04,13.0,8.0,1.625,14,13,1.0769230769230769,-0.5480769230769231
2026-03-05,9.0,8.0,1.125,9,7,1.2857142857142858,0.1607142857142858
2026-03-06,4.0,3.0,1.3333333333333333,4,3,1.3333333333333333,0.0
2026-03-09,4.0,3.0,1.3333333333333333,4,4,1.0,-0.33333333333333326
