service_date_key,assigned_sm_code,job_count,haversine_km,osrm_km,km_ratio,haversine_min,osrm_min,min_ratio
2026-01-01,AI005576,1,25.65,36.14,1.409,30.78,39.55,1.285
2026-01-01,AI102961,1,73.52,88.24,1.2,88.22,79.46,0.901
2026-01-02,40324200,3,22.21,34.43,1.55,26.65,40.82,1.531
2026-01-02,AI005576,2,50.64,67.61,1.335,60.77,75.06,1.235
2026-01-02,AI102315,1,18.92,25.59,1.352,22.71,27.65,1.218
2026-01-02,AI102608,1,5.68,7.97,1.404,6.81,9.87,1.449
2026-01-02,AI102961,1,60.73,78.51,1.293,72.88,79.13,1.086
2026-01-02,AI102977,1,36.21,42.91,1.185,43.45,52.65,1.212
2026-01-02,AI103264,1,52.72,61.84,1.173,63.26,61.27,0.968
2026-01-02,AI103317,1,94.94,136.69,1.44,113.93,105.39,0.925
2026-01-02,JMOTOS2,3,74.45,96.82,1.3,89.34,87.86,0.983
2026-01-03,AI005576,1,44.26,62.67,1.416,53.11,56.96,1.073
2026-01-03,AI102961,1,21.12,27.54,1.304,25.34,31.23,1.232
2026-01-03,JMOTOS2,1,39.72,55.03,1.386,47.66,53.67,1.126
2026-01-05,40324200,1,28.72,35.98,1.253,34.47,43.52,1.263
2026-01-05,AI005576,1,15.68,23.39,1.492,18.82,24.13,1.282
2026-01-05,AI102315,1,10.21,13.22,1.294,12.26,14.6,1.191
2026-01-05,AI102933,1,34.01,38.46,1.131,40.81,30.64,0.751
2026-01-05,AI102961,1,24.16,33.41,1.383,29.0,40.36,1.392
2026-01-05,AI102977,1,20.88,29.38,1.407,25.05,33.05,1.319
2026-01-05,AI103146,2,15.33,26.73,1.744,18.39,41.23,2.242
2026-01-05,AI103261,1,32.32,42.3,1.309,38.79,38.07,0.982
2026-01-05,AI103264,2,19.9,29.23,1.469,23.88,38.84,1.627
2026-01-05,JMOTOS2,2,16.52,25.2,1.525,19.82,26.25,1.324
2026-01-06,40324200,3,56.15,81.8,1.457,67.38,90.18,1.338
2026-01-06,AI005576,2,24.57,34.44,1.402,29.48,43.19,1.465
2026-01-06,AI102087,1,13.76,19.61,1.426,16.51,24.5,1.484
2026-01-06,AI102315,2,24.82,42.16,1.699,29.78,48.88,1.641
2026-01-06,AI102608,1,5.47,8.17,1.493,6.56,11.33,1.726
2026-01-06,AI102933,2,36.69,51.8,1.412,44.02,60.77,1.38
2026-01-06,AI102961,2,12.92,20.06,1.552,15.51,28.71,1.851
2026-01-06,AI102977,1,12.16,16.6,1.365,14.6,22.48,1.54
2026-01-06,AI103128,2,40.48,56.49,1.395,48.58,68.53,1.411
2026-01-06,AI103146,3,22.96,36.26,1.58,27.55,45.06,1.636
2026-01-06,AI103261,2,16.37,27.27,1.666,19.64,37.57,1.913
2026-01-06,AI103264,2,31.85,42.13,1.323,38.23,52.49,1.373
2026-01-06,AI103317,2,81.36,109.71,1.348,97.64,126.51,1.296
2026-01-06,AI105115,1,99.14,128.25,1.294,118.97,106.9,0.899
