service_date_key,supplemented_total,service_count,heavy_repair_count,tv_job_count,total_service_time_min,weighted_job_units,available_dms_count,available_dms2_count,soft_capacity_weighted_units,soft_capacity_gap_weighted_units,service_time_gap_min,soft_region_feasible_weighted,soft_region_feasible_service_time,tv_capacity_units,soft_region_feasible_tv,soft_region_feasible_overall,hard_region_feasible,feasible_after_border_expansion
2026-01-01,2,2,0,0,90,2,0,2,8,6,870,True,True,8,True,True,True,True
2026-01-02,4,14,0,2,630,14,1,3,16,2,1290,True,True,12,True,True,False,False
2026-01-03,0,3,0,0,135,3,0,0,0,-3,-135,False,False,0,True,False,False,False
2026-01-05,5,13,1,1,640,14,3,2,20,6,1760,True,True,8,True,True,False,False
2026-01-06,12,29,9,2,1800,38,8,4,48,10,3960,True,True,16,True,True,True,True
2026-01-07,13,31,7,5,1780,38,9,4,52,14,4460,True,True,16,True,True,True,True
2026-01-08,15,44,12,4,2640,56,11,4,60,4,4560,True,True,16,True,True,False,False
2026-01-09,9,27,3,4,1380,30,7,2,36,6,2940,True,True,8,True,True,False,True
2026-01-10,1,4,0,0,180,4,0,1,4,0,300,True,True,4,True,True,False,True
2026-01-11,0,1,0,0,45,1,0,0,0,-1,-45,False,False,0,True,False,False,True
2026-01-12,17,61,16,2,3625,77,13,4,68,-9,4535,False,True,16,True,False,False,False
2026-01-13,15,60,13,2,3415,73,13,2,60,-13,3785,False,True,8,True,False,False,False
2026-01-14,16,55,12,3,3135,67,13,3,64,-3,4545,False,True,12,True,False,False,False
2026-01-15,15,48,17,0,3095,65,14,1,60,-5,4105,False,True,4,True,False,False,False
2026-01-16,13,55,16,0,3355,71,11,2,52,-19,2885,False,True,8,True,False,False,False
2026-01-17,1,1,1,0,100,2,1,0,4,2,380,True,True,0,True,True,True,True
2026-01-19,16,63,9,0,3330,72,14,2,64,-8,4350,False,True,8,True,False,False,False
2026-01-20,17,60,8,2,3140,68,15,2,68,0,5020,True,True,8,True,True,False,False
2026-01-21,14,52,7,3,2725,59,12,2,56,-3,3995,False,True,8,True,False,False,False
2026-01-22,16,58,7,5,2995,65,13,3,64,-1,4685,False,True,12,True,False,False,False
2026-01-23,15,46,7,2,2455,53,13,2,60,7,4745,True,True,8,True,True,False,False
2026-01-24,1,2,0,0,90,2,0,1,4,2,390,True,True,4,True,True,False,True
2026-01-26,8,21,5,1,1220,26,6,2,32,6,2620,True,True,8,True,True,False,False
2026-01-27,17,56,12,2,3180,68,14,3,68,0,4980,True,True,12,True,True,False,False
2026-01-28,16,46,6,0,2400,52,15,1,64,12,5280,True,True,4,True,True,False,False
2026-01-29,15,37,10,0,2215,47,13,2,60,13,4985,True,True,8,True,True,False,False
2026-01-30,13,59,16,3,3535,75,11,2,52,-23,2705,False,True,8,True,False,False,False
2026-01-31,1,1,0,0,45,1,1,0,4,3,435,True,True,0,True,True,True,True
2026-02-01,0,1,0,0,45,1,0,0,0,-1,-45,False,False,0,True,False,False,False
2026-02-02,13,52,9,6,2835,61,10,3,52,-9,3405,False,True,12,True,False,False,False
2026-02-03,15,64,17,4,3815,81,13,2,60,-21,3385,False,True,8,True,False,False,False
2026-02-04,13,49,8,2,2645,57,11,2,52,-5,3595,False,True,8,True,False,False,False
2026-02-05,17,58,10,1,3160,68,14,3,68,0,5000,True,True,12,True,True,False,False
2026-02-06,13,48,11,4,2765,59,10,3,52,-7,3475,False,True,12,True,False,False,False
2026-02-07,2,8,2,0,470,10,2,0,8,-2,490,False,True,0,True,False,False,False
2026-02-09,15,45,19,2,3070,64,13,2,60,-4,4130,False,True,8,True,False,False,False
2026-02-10,17,50,12,1,2910,62,15,2,68,6,5250,True,True,8,True,True,False,False
2026-02-11,13,47,10,0,2665,57,11,2,52,-5,3575,False,True,8,True,False,False,False
2026-02-12,16,45,14,1,2795,59,13,3,64,5,4885,True,True,12,True,True,False,False
2026-02-13,11,35,3,4,1740,38,9,2,44,6,3540,True,True,8,True,True,False,True
2026-02-14,2,3,1,0,190,4,2,0,8,4,770,True,True,0,True,True,True,True
2026-02-16,3,12,1,0,595,13,1,2,12,-1,845,False,True,8,True,False,False,False
2026-02-17,16,67,12,3,3675,79,13,3,64,-15,4005,False,True,12,True,False,False,False
2026-02-18,15,43,14,0,2705,57,14,1,60,3,4495,True,True,4,True,True,False,False
2026-02-19,15,56,9,0,3015,65,14,1,60,-5,4185,False,True,4,True,False,False,False
2026-02-20,15,42,6,1,2220,48,13,2,60,12,4980,True,True,8,True,True,False,False
2026-02-21,2,2,0,0,90,2,1,1,8,6,870,True,True,4,True,True,True,True
2026-02-22,1,1,0,0,45,1,1,0,4,3,435,True,True,0,True,True,True,True
2026-02-23,16,54,15,2,3255,69,14,2,64,-5,4425,False,True,8,True,False,False,False
2026-02-24,17,61,17,3,3680,78,15,2,68,-10,4480,False,True,8,True,False,False,False
2026-02-25,15,61,10,2,3295,71,13,2,60,-11,3905,False,True,8,True,False,False,False
2026-02-26,17,44,15,3,2805,59,14,3,68,9,5355,True,True,12,True,True,False,True
2026-02-27,17,50,11,1,2855,61,15,2,68,7,5305,True,True,8,True,True,True,True
2026-02-28,0,1,0,0,45,1,0,0,0,-1,-45,False,False,0,True,False,False,False
2026-03-02,14,41,7,0,2230,48,14,0,56,8,4490,True,True,0,True,True,True,True
2026-03-03,1,7,7,0,700,14,1,0,4,-10,-220,False,False,0,True,False,False,False
2026-03-04,8,14,4,0,850,18,8,0,32,14,2990,True,True,0,True,True,True,True
2026-03-05,8,9,2,0,515,11,8,0,32,21,3325,True,True,0,True,True,True,True
2026-03-06,3,4,1,0,235,5,3,0,12,7,1205,True,True,0,True,True,True,True
2026-03-09,3,4,1,0,235,5,3,0,12,7,1205,True,True,0,True,True,False,False
