STRATEGIC_CITY_NAME,receipt_method_type,first_promise_weekday_short,당일,1일전,2일전,3일전,4일전,5일전,6일전,7일전,8일전,9일전,10일전,11일전,12일전,13일전,14일전,15일전,after_first_promise,missing_date,total_cases
"Atlanta, GA",유인,Mon,2,6,18,67,31,6,4,7,2,2,3,0,0,1,0,0,0,0,149
"Atlanta, GA",유인,Tue,0,81,13,32,7,2,5,6,8,0,1,0,0,0,0,0,0,0,155
"Atlanta, GA",유인,Wed,2,48,73,9,0,2,6,9,9,1,0,0,0,0,0,0,0,0,159
"Atlanta, GA",유인,Thu,2,52,84,2,0,0,2,12,10,1,1,0,0,0,0,0,0,0,166
"Atlanta, GA",유인,Fri,1,37,50,2,3,1,0,8,2,0,1,0,0,0,0,0,0,0,105
"Atlanta, GA",유인,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Atlanta, GA",유인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlanta, GA",무인,Mon,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Atlanta, GA",무인,Tue,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
"Atlanta, GA",무인,Wed,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
"Atlanta, GA",무인,Thu,0,3,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
"Atlanta, GA",무인,Fri,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9
"Atlanta, GA",무인,Sat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atlanta, GA",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles, CA",유인,Mon,1,42,108,224,65,19,0,2,0,0,1,0,0,0,0,0,0,0,462
"Los Angeles, CA",유인,Tue,0,319,47,60,17,14,1,0,0,0,0,0,0,0,0,0,0,0,458
"Los Angeles, CA",유인,Wed,0,325,187,10,3,3,1,3,0,0,0,0,0,1,0,0,0,0,533
"Los Angeles, CA",유인,Thu,0,313,169,22,1,0,1,3,0,1,0,0,0,0,0,0,0,0,510
"Los Angeles, CA",유인,Fri,1,260,101,15,5,0,0,2,0,0,0,1,0,0,0,0,0,0,385
"Los Angeles, CA",유인,Sat,0,102,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
"Los Angeles, CA",유인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Los Angeles, CA",무인,Mon,0,26,27,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,84
"Los Angeles, CA",무인,Tue,0,22,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34
"Los Angeles, CA",무인,Wed,0,21,29,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,55
"Los Angeles, CA",무인,Thu,0,43,27,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,73
"Los Angeles, CA",무인,Fri,0,21,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"Los Angeles, CA",무인,Sat,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"Los Angeles, CA",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Jersey, NJ",유인,Mon,0,43,80,250,60,17,11,2,0,0,2,0,1,2,0,0,0,0,468
"North Jersey, NJ",유인,Tue,0,219,26,52,31,9,4,1,0,0,0,0,0,0,0,0,0,0,342
"North Jersey, NJ",유인,Wed,0,214,193,13,11,5,2,1,0,0,0,0,0,0,0,0,0,0,439
"North Jersey, NJ",유인,Thu,0,211,137,32,1,1,6,2,3,1,2,0,0,0,0,0,0,0,396
"North Jersey, NJ",유인,Fri,0,212,128,14,10,0,2,1,1,1,1,0,0,0,0,0,0,0,370
"North Jersey, NJ",유인,Sat,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"North Jersey, NJ",유인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Jersey, NJ",무인,Mon,0,11,15,5,9,0,0,0,0,0,2,0,0,0,0,0,0,0,42
"North Jersey, NJ",무인,Tue,0,16,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"North Jersey, NJ",무인,Wed,0,16,26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,44
"North Jersey, NJ",무인,Thu,0,16,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"North Jersey, NJ",무인,Fri,0,15,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26
"North Jersey, NJ",무인,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"North Jersey, NJ",무인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia, PA",유인,Mon,0,14,22,63,18,4,0,0,0,0,0,0,0,0,0,0,0,0,121
"Philadelphia, PA",유인,Tue,0,59,10,16,3,2,0,0,0,0,0,0,1,0,0,0,0,0,91
"Philadelphia, PA",유인,Wed,0,57,53,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,117
"Philadelphia, PA",유인,Thu,0,51,48,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,107
"Philadelphia, PA",유인,Fri,0,51,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"Philadelphia, PA",유인,Sat,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Philadelphia, PA",유인,Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia, PA",무인,Mon,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Philadelphia, PA",무인,Tue,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Philadelphia, PA",무인,Wed,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Philadelphia, PA",무인,Thu,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Philadelphia, PA",무인,Fri,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Philadelphia, PA",무인,Sat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
