POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30002,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30004,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30005,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30007,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30008,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30009,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30011,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30012,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30013,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30014,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30016,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30017,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30018,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30019,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30021,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30022,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30023,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30024,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30025,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30028,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30028,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30030,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30032,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30033,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30034,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30035,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30037,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30038,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30039,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30040,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30040,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30041,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30041,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30043,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30044,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30045,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30046,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30047,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30052,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30054,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30055,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30056,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30058,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30060,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30062,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30063,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30064,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30065,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30066,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30067,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30068,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30069,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30071,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30072,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30075,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30076,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30078,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30079,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30080,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30081,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30082,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30083,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30084,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30087,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30088,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30092,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30093,"Atlanta, GA",Zone 5,5,Zone 5,Atlanta_Zone 5,DMS
30094,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30096,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30097,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30098,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30101,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30102,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30106,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30107,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30107,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30109,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30110,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30111,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30112,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30114,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30115,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30116,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30117,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30118,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30119,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30120,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30122,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30126,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30127,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30132,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30133,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30134,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30135,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30137,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30141,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30142,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30143,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30144,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30146,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30148,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30152,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30154,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30156,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30157,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30160,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30168,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30169,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30175,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30177,"Atlanta, GA",Zone 3,3,Zone 3,Atlanta_Zone 3,DMS
30179,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30180,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30185,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30187,"Atlanta, GA",Zone 1,1,Zone 1,Atlanta_Zone 1,DMS
30188,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30189,"Atlanta, GA",Zone 2,2,Zone 2,Atlanta_Zone 2,DMS
30205,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
30212,"Atlanta, GA",Zone 4,4,Zone 4,Atlanta_Zone 4,DMS
