ZIP,GENERAL_MARKET,CITY_STATE,STATE,RSM,ASM,Grouping,Grouping Phase,2024 Avg Demand,Flag
98520,"Aberdeen, WA",Aberdeen_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,1.75,
98535,"Aberdeen, WA",Copalis Beach_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0.08,
98536,"Aberdeen, WA",Copalis Crossing_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0,
98550,"Aberdeen, WA",Hoquiam_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0.75,
98563,"Aberdeen, WA",Montesano_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0.5,
98569,"Aberdeen, WA",Ocean Shores_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,1.58,
98571,"Aberdeen, WA",Pacific Beach_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0.67,
98583,"Aberdeen, WA",Satsop_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0,
98595,"Aberdeen, WA",Westport_WA,WA,Alberto Millan,Sean Twohey,C,Phase 3,0.08,
76430,"Abilene, TX",Albany_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79501,"Abilene, TX",Anson_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.08,
79504,"Abilene, TX",Baird_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79508,"Abilene, TX",Buffalo Gap_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79510,"Abilene, TX",Clyde_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.33,
79525,"Abilene, TX",Hawley_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.17,
79530,"Abilene, TX",Lawn_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.08,
79534,"Abilene, TX",Mc Caulley_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79536,"Abilene, TX",Merkel_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.17,
79537,"Abilene, TX",Nolan_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79541,"Abilene, TX",Ovalo_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.08,
79560,"Abilene, TX",Sylvester_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79561,"Abilene, TX",Trent_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79562,"Abilene, TX",Tuscola_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.42,
79563,"Abilene, TX",Tye_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79566,"Abilene, TX",Wingate_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79601,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,1.25,
79602,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,2,
79603,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,1.83,
79604,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79605,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,2.25,
79606,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,2.58,
79607,"Abilene, TX",Dyess AFB_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0.08,
79608,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79697,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79698,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
79699,"Abilene, TX",Abilene_TX,TX,James Sapp,Donald Mooney,C,Phase 3,0,
1201,"Albany & North of Albany, NY",Pittsfield_MA,MA,Stephan Bruner,James Gilbert,B,Phase 3,3.42,
12008,"Albany & North of Albany, NY",Alplaus_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.08,
12009,"Albany & North of Albany, NY",Altamont_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,0.83,
12010,"Albany & North of Albany, NY",Amsterdam_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,3.42,
12018,"Albany & North of Albany, NY",Averill Park_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,1.08,
12019,"Albany & North of Albany, NY",Ballston Lake_NY,NY,Stephan Bruner,Fred Comer,B,Phase 3,2.42,
