receipt_no,field,existing,common,diff_type
RNN260318099850,is_tv_job,,false,value_mismatch
RNN260323021594,is_tv_job,,false,value_mismatch
RNN260323024038,current_center_type,DMS,DMS2,value_mismatch
RNN260323024038,is_tv_job,,false,value_mismatch
RNN260324029886,is_tv_job,,false,value_mismatch
RNN260324029921,is_tv_job,,false,value_mismatch
RNN260324030009,is_tv_job,,false,value_mismatch
RNN260325036111,current_center_type,DMS,DMS2,value_mismatch
RNN260325036111,is_tv_job,,false,value_mismatch
RNN260325037290,is_tv_job,,false,value_mismatch
RNN260325037290,symptom,,NAN,value_mismatch
RNN260326039101,is_tv_job,,false,value_mismatch
RNN260326039101,symptom,,NAN,value_mismatch
RNN260326042155,current_center_type,DMS,DMS2,value_mismatch
RNN260326042155,is_tv_job,,false,value_mismatch
RNN260327044342,is_tv_job,,false,value_mismatch
RNN260327044717,is_tv_job,,false,value_mismatch
RNN260327044720,is_tv_job,,false,value_mismatch
RNN260327044872,is_tv_job,,false,value_mismatch
RNN260327044872,symptom,,NAN,value_mismatch
RNN260327045907,is_tv_job,,false,value_mismatch
RNN260327047201,current_center_type,DMS,DMS2,value_mismatch
RNN260327047201,is_tv_job,,false,value_mismatch
RNN260327047292,is_tv_job,,false,value_mismatch
RNN260327047292,symptom,,NAN,value_mismatch
RNN260327047906,is_tv_job,,false,value_mismatch
RNN260328048713,is_tv_job,,false,value_mismatch
RNN260328048728,is_tv_job,,false,value_mismatch
RNN260328048728,symptom,,NAN,value_mismatch
RNN260328048779,is_tv_job,,false,value_mismatch
RNN260328048779,symptom,,NAN,value_mismatch
RNN260328048862,is_tv_job,,false,value_mismatch
RNN260328049141,is_tv_job,,false,value_mismatch
RNN260328049693,is_tv_job,,false,value_mismatch
RNN260328050247,is_tv_job,,false,value_mismatch
RNN260328050280,is_tv_job,,false,value_mismatch
RNN260329051001,is_tv_job,,false,value_mismatch
RNN260329051407,is_tv_job,,false,value_mismatch
RNN260329051578,is_tv_job,,false,value_mismatch
RNN260329051892,is_tv_job,,false,value_mismatch
RNN260329051892,symptom,,NAN,value_mismatch
RNN260329051907,is_tv_job,,false,value_mismatch
RNN260330052248,is_tv_job,,false,value_mismatch
RNN260330052563,is_tv_job,,false,value_mismatch
RNN260330052836,is_tv_job,,false,value_mismatch
RNN260330054152,is_tv_job,,false,value_mismatch
RNN260330054643,is_tv_job,,false,value_mismatch
RNN260330054643,symptom,,NAN,value_mismatch
RNN260330055628,is_tv_job,,false,value_mismatch
RNN260330055907,is_tv_job,,false,value_mismatch
RNN260330055907,symptom,,NAN,value_mismatch
RNN260330056126,is_tv_job,,false,value_mismatch
RNN260330056126,symptom,,NAN,value_mismatch
RNN260330057676,is_tv_job,,false,value_mismatch
RNN260331060844,is_tv_job,,false,value_mismatch
