salesforce_id,receipt_no,employee_code,sequence,planned_start,planned_end,changed
RNN260330054643,RNN260330054643,AI103146,1,2026-03-31T09:09:00-04:00,2026-03-31T09:54:00-04:00,True
RNN260329051001,RNN260329051001,AI103146,2,2026-03-31T10:05:00-04:00,2026-03-31T11:45:00-04:00,True
RNN260330052248,RNN260330052248,AI103146,3,2026-03-31T13:08:00-04:00,2026-03-31T13:53:00-04:00,True
RNN260329051578,RNN260329051578,AI102608,1,2026-03-31T09:10:00-04:00,2026-03-31T10:50:00-04:00,False
RNN260328048779,RNN260328048779,AI102608,2,2026-03-31T11:06:00-04:00,2026-03-31T11:51:00-04:00,False
RNN260327044872,RNN260327044872,AI102608,3,2026-03-31T13:10:00-04:00,2026-03-31T13:55:00-04:00,True
RNN260326039101,RNN260326039101,AI102933,1,2026-03-31T09:21:00-04:00,2026-03-31T10:06:00-04:00,False
RNN260330055628,RNN260330055628,AI102933,2,2026-03-31T10:19:00-04:00,2026-03-31T11:04:00-04:00,True
RNN260327047906,RNN260327047906,AI102933,3,2026-03-31T11:19:00-04:00,2026-03-31T12:04:00-04:00,False
RNN260328050247,RNN260328050247,AI102448,1,2026-03-31T09:11:00-04:00,2026-03-31T09:56:00-04:00,True
RNN260330055907,RNN260330055907,AI102448,2,2026-03-31T10:25:00-04:00,2026-03-31T11:10:00-04:00,True
RNN260328049693,RNN260328049693,AI102448,3,2026-03-31T12:57:00-04:00,2026-03-31T13:42:00-04:00,True
RNN260328050280,RNN260328050280,AI102087,1,2026-03-31T09:17:00-04:00,2026-03-31T10:57:00-04:00,True
RNN260327044720,RNN260327044720,AI102087,2,2026-03-31T11:26:00-04:00,2026-03-31T13:06:00-04:00,True
RNN260328049141,RNN260328049141,AI105115,1,2026-03-31T09:43:00-04:00,2026-03-31T10:28:00-04:00,False
RNN260329051892,RNN260329051892,AI105115,2,2026-03-31T11:15:00-04:00,2026-03-31T12:00:00-04:00,True
RNN260329051407,RNN260329051407,AI105115,3,2026-03-31T13:21:00-04:00,2026-03-31T14:06:00-04:00,True
RNN260324029886,RNN260324029886,AI005576,1,2026-03-31T09:41:00-04:00,2026-03-31T10:26:00-04:00,True
RNN260327047201,RNN260327047201,AI005576,2,2026-03-31T10:39:00-04:00,2026-03-31T12:19:00-04:00,True
RNN260325036111,RNN260325036111,AI005576,3,2026-03-31T13:26:00-04:00,2026-03-31T14:11:00-04:00,True
RNN260330052836,RNN260330052836,AI103128,1,2026-03-31T09:34:00-04:00,2026-03-31T11:14:00-04:00,False
RNN260324030009,RNN260324030009,AI103128,2,2026-03-31T13:34:00-04:00,2026-03-31T14:19:00-04:00,False
RNN260327044717,RNN260327044717,AI102961,1,2026-03-31T09:13:00-04:00,2026-03-31T10:53:00-04:00,False
RNN260318099850,RNN260318099850,AI102961,2,2026-03-31T12:54:00-04:00,2026-03-31T13:39:00-04:00,False
RNN260328048728,RNN260328048728,AI103264,1,2026-03-31T09:20:00-04:00,2026-03-31T10:05:00-04:00,True
RNN260330052563,RNN260330052563,AI103264,2,2026-03-31T10:28:00-04:00,2026-03-31T12:08:00-04:00,True
RNN260323024038,RNN260323024038,AI103264,3,2026-03-31T13:23:00-04:00,2026-03-31T14:08:00-04:00,True
RNN260328048713,RNN260328048713,AI105116,1,2026-03-31T09:27:00-04:00,2026-03-31T11:07:00-04:00,True
RNN260328048862,RNN260328048862,AI105116,2,2026-03-31T11:20:00-04:00,2026-03-31T13:00:00-04:00,True
RNN260330057676,RNN260330057676,AI102315,1,2026-03-31T09:32:00-04:00,2026-03-31T10:17:00-04:00,False
RNN260326042155,RNN260326042155,AI102315,2,2026-03-31T10:19:00-04:00,2026-03-31T11:04:00-04:00,True
RNN260329051907,RNN260329051907,AI102315,3,2026-03-31T11:29:00-04:00,2026-03-31T13:09:00-04:00,True
RNN260324029921,RNN260324029921,AI103317,1,2026-03-31T09:35:00-04:00,2026-03-31T11:15:00-04:00,False
RNN260327047292,RNN260327047292,AI103317,2,2026-03-31T13:16:00-04:00,2026-03-31T14:01:00-04:00,True
RNN260325037290,RNN260325037290,AI102977,1,2026-03-31T09:35:00-04:00,2026-03-31T10:20:00-04:00,True
RNN260330056126,RNN260330056126,AI102977,2,2026-03-31T10:22:00-04:00,2026-03-31T11:07:00-04:00,True
RNN260331060844,RNN260331060844,AI102977,3,2026-03-31T12:30:00-04:00,2026-03-31T14:10:00-04:00,True
RNN260327045907,RNN260327045907,AI103261,1,2026-03-31T09:38:00-04:00,2026-03-31T10:23:00-04:00,True
RNN260323021594,RNN260323021594,AI103261,2,2026-03-31T10:38:00-04:00,2026-03-31T11:23:00-04:00,True
RNN260327044342,RNN260327044342,AI103261,3,2026-03-31T12:32:00-04:00,2026-03-31T13:17:00-04:00,True
RNN260330054152,RNN260330054152,AI103261,4,2026-03-31T13:28:00-04:00,2026-03-31T14:13:00-04:00,True
