receipt_no,field,existing,common,diff_type
RNN260318099850,city_name,,WINTERVILLE,value_mismatch
RNN260318099850,country_name,,USA,value_mismatch
RNN260318099850,state_name,,GA,value_mismatch
RNN260323021594,city_name,,ATLANTA,value_mismatch
RNN260323021594,country_name,,USA,value_mismatch
RNN260323021594,state_name,,GA,value_mismatch
RNN260323024038,city_name,,LAWRENCEVILLE,value_mismatch
RNN260323024038,country_name,,USA,value_mismatch
RNN260323024038,current_center_type,DMS,DMS2,value_mismatch
RNN260323024038,state_name,,GA,value_mismatch
RNN260324029886,city_name,,LILBURN,value_mismatch
RNN260324029886,country_name,,USA,value_mismatch
RNN260324029886,state_name,,GA,value_mismatch
RNN260324029921,city_name,,JACKSON,value_mismatch
RNN260324029921,country_name,,USA,value_mismatch
RNN260324029921,state_name,,GA,value_mismatch
RNN260324030009,city_name,,BLAIRSVILLE,value_mismatch
RNN260324030009,country_name,,USA,value_mismatch
RNN260324030009,state_name,,GA,value_mismatch
RNN260325036111,city_name,,LAWRENCEVILLE,value_mismatch
RNN260325036111,country_name,,USA,value_mismatch
RNN260325036111,current_center_type,DMS,DMS2,value_mismatch
RNN260325036111,state_name,,GA,value_mismatch
RNN260325037290,city_name,,MABELTON,value_mismatch
RNN260325037290,country_name,,USA,value_mismatch
RNN260325037290,state_name,,GA,value_mismatch
RNN260326039101,city_name,,SOCIAL CIRCLE,value_mismatch
RNN260326039101,country_name,,USA,value_mismatch
RNN260326039101,state_name,,GA,value_mismatch
RNN260326042155,city_name,,BUFORD,value_mismatch
RNN260326042155,country_name,,USA,value_mismatch
RNN260326042155,current_center_type,DMS,DMS2,value_mismatch
RNN260326042155,state_name,,GA,value_mismatch
RNN260327044342,city_name,,ATLANTA,value_mismatch
RNN260327044342,country_name,,USA,value_mismatch
RNN260327044342,state_name,,GA,value_mismatch
RNN260327044717,city_name,,LAWRENCEVILLE,value_mismatch
RNN260327044717,country_name,,USA,value_mismatch
RNN260327044717,state_name,,GA,value_mismatch
RNN260327044720,city_name,,CARTERSVILLE,value_mismatch
RNN260327044720,country_name,,USA,value_mismatch
RNN260327044720,state_name,,GA,value_mismatch
RNN260327044872,city_name,,KENNESAW,value_mismatch
RNN260327044872,country_name,,USA,value_mismatch
RNN260327044872,state_name,,GA,value_mismatch
RNN260327045907,city_name,,ATLANTA,value_mismatch
RNN260327045907,country_name,,USA,value_mismatch
RNN260327045907,state_name,,GA,value_mismatch
RNN260327047201,city_name,,Lawrenceville,value_mismatch
RNN260327047201,country_name,,USA,value_mismatch
RNN260327047201,current_center_type,DMS,DMS2,value_mismatch
RNN260327047201,state_name,,GA,value_mismatch
RNN260327047292,city_name,,Fayetteville,value_mismatch
RNN260327047292,country_name,,USA,value_mismatch
RNN260327047292,state_name,,GA,value_mismatch
RNN260327047906,city_name,,MANSFIELD,value_mismatch
RNN260327047906,country_name,,USA,value_mismatch
RNN260327047906,state_name,,GA,value_mismatch
RNN260328048713,city_name,,DOUGLASVILLE,value_mismatch
RNN260328048713,country_name,,USA,value_mismatch
RNN260328048713,state_name,,GA,value_mismatch
RNN260328048728,city_name,,Loganville,value_mismatch
RNN260328048728,country_name,,USA,value_mismatch
RNN260328048728,state_name,,GA,value_mismatch
RNN260328048779,city_name,,ACWORTH,value_mismatch
RNN260328048779,country_name,,USA,value_mismatch
RNN260328048779,state_name,,GA,value_mismatch
RNN260328048862,city_name,,DOUGLASVILLE,value_mismatch
RNN260328048862,country_name,,USA,value_mismatch
RNN260328048862,state_name,,GA,value_mismatch
RNN260328049141,city_name,,LOCUST GROVE,value_mismatch
RNN260328049141,country_name,,USA,value_mismatch
RNN260328049141,state_name,,GA,value_mismatch
RNN260328049693,city_name,,BREMEN,value_mismatch
RNN260328049693,country_name,,USA,value_mismatch
RNN260328049693,state_name,,GA,value_mismatch
RNN260328050247,city_name,,KENNESAW,value_mismatch
RNN260328050247,country_name,,USA,value_mismatch
RNN260328050247,state_name,,GA,value_mismatch
RNN260328050280,city_name,,Dallas,value_mismatch
RNN260328050280,country_name,,USA,value_mismatch
RNN260328050280,state_name,,GA,value_mismatch
RNN260329051001,city_name,,ALPHARETTA,value_mismatch
RNN260329051001,country_name,,USA,value_mismatch
RNN260329051001,state_name,,GA,value_mismatch
RNN260329051407,city_name,,PINE LAKE,value_mismatch
RNN260329051407,country_name,,USA,value_mismatch
RNN260329051407,state_name,,GA,value_mismatch
RNN260329051578,city_name,,ACWORTH,value_mismatch
RNN260329051578,country_name,,USA,value_mismatch
RNN260329051578,state_name,,GA,value_mismatch
RNN260329051892,city_name,,CONLEY,value_mismatch
RNN260329051892,country_name,,USA,value_mismatch
RNN260329051892,state_name,,GA,value_mismatch
RNN260329051907,city_name,,SUWANEE,value_mismatch
RNN260329051907,country_name,,USA,value_mismatch
RNN260329051907,state_name,,GA,value_mismatch
RNN260330052248,city_name,,CUMMING,value_mismatch
RNN260330052248,country_name,,USA,value_mismatch
RNN260330052248,state_name,,GA,value_mismatch
RNN260330052563,city_name,,LOGANVILLE,value_mismatch
RNN260330052563,country_name,,USA,value_mismatch
RNN260330052563,state_name,,GA,value_mismatch
RNN260330052836,city_name,,DAHLONEGA,value_mismatch
RNN260330052836,country_name,,USA,value_mismatch
RNN260330052836,state_name,,GA,value_mismatch
RNN260330054152,city_name,,ATLANTA,value_mismatch
RNN260330054152,country_name,,USA,value_mismatch
RNN260330054152,state_name,,GA,value_mismatch
RNN260330054643,city_name,,MILTON,value_mismatch
RNN260330054643,country_name,,USA,value_mismatch
RNN260330054643,state_name,,GA,value_mismatch
RNN260330055628,city_name,,SOCIAL CIRCLE,value_mismatch
RNN260330055628,country_name,,USA,value_mismatch
RNN260330055628,state_name,,GA,value_mismatch
RNN260330055907,city_name,,WHITE OAK,value_mismatch
RNN260330055907,country_name,,USA,value_mismatch
RNN260330055907,state_name,,GA,value_mismatch
RNN260330056126,city_name,,MABELTON,value_mismatch
RNN260330056126,country_name,,USA,value_mismatch
RNN260330056126,state_name,,GA,value_mismatch
RNN260330057676,city_name,,BUFORD,value_mismatch
RNN260330057676,country_name,,USA,value_mismatch
RNN260330057676,state_name,,GA,value_mismatch
RNN260331060844,city_name,,ATLANTA,value_mismatch
RNN260331060844,country_name,,USA,value_mismatch
RNN260331060844,state_name,,GA,value_mismatch
