employee_code,field,existing,common,diff_type
AI005576,max_jobs,,8,value_mismatch
AI005576,slot_count,,8,value_mismatch
AI102087,max_jobs,,8,value_mismatch
AI102087,slot_count,,8,value_mismatch
AI102315,max_jobs,,8,value_mismatch
AI102315,slot_count,,8,value_mismatch
AI102448,max_jobs,,8,value_mismatch
AI102448,slot_count,,8,value_mismatch
AI102608,max_jobs,,8,value_mismatch
AI102608,slot_count,,8,value_mismatch
AI102933,max_jobs,,8,value_mismatch
AI102933,slot_count,,8,value_mismatch
AI102961,max_jobs,,8,value_mismatch
AI102961,slot_count,,8,value_mismatch
AI102977,max_jobs,,8,value_mismatch
AI102977,slot_count,,8,value_mismatch
AI103128,max_jobs,,8,value_mismatch
AI103128,slot_count,,8,value_mismatch
AI103146,max_jobs,,8,value_mismatch
AI103146,slot_count,,8,value_mismatch
AI103261,max_jobs,,8,value_mismatch
AI103261,slot_count,,8,value_mismatch
AI103264,max_jobs,,8,value_mismatch
AI103264,slot_count,,8,value_mismatch
AI103317,max_jobs,,8,value_mismatch
AI103317,slot_count,,8,value_mismatch
AI105115,max_jobs,,8,value_mismatch
AI105115,slot_count,,8,value_mismatch
AI105116,max_jobs,,8,value_mismatch
AI105116,slot_count,,8,value_mismatch
