receipt_no,field,existing,common
RNN260318099850,changed,True,False
RNN260318099850,employee_code,AI102315,AI102961
RNN260318099850,planned_end,2026-03-31T13:46:00-04:00,2026-03-31T13:39:00-04:00
RNN260318099850,planned_start,2026-03-31T13:01:00-04:00,2026-03-31T12:54:00-04:00
RNN260323021594,employee_code,AI102933,AI103261
RNN260323021594,planned_end,2026-03-31T14:08:00-04:00,2026-03-31T11:23:00-04:00
RNN260323021594,planned_start,2026-03-31T13:23:00-04:00,2026-03-31T10:38:00-04:00
RNN260323021594,sequence,4,2
RNN260324029886,changed,False,True
RNN260324029886,employee_code,AI102961,AI005576
RNN260324029886,planned_end,2026-03-31T13:49:00-04:00,2026-03-31T10:26:00-04:00
RNN260324029886,planned_start,2026-03-31T13:04:00-04:00,2026-03-31T09:41:00-04:00
RNN260324029886,sequence,3,1
RNN260324029921,planned_end,2026-03-31T12:18:00-04:00,2026-03-31T11:15:00-04:00
RNN260324029921,planned_start,2026-03-31T10:38:00-04:00,2026-03-31T09:35:00-04:00
RNN260324029921,sequence,2,1
RNN260325036111,employee_code,AI102961,AI005576
RNN260325036111,planned_end,2026-03-31T11:48:00-04:00,2026-03-31T14:11:00-04:00
RNN260325036111,planned_start,2026-03-31T11:03:00-04:00,2026-03-31T13:26:00-04:00
RNN260325036111,sequence,2,3
RNN260325037290,employee_code,AI103261,AI102977
RNN260325037290,planned_end,2026-03-31T11:46:00-04:00,2026-03-31T10:20:00-04:00
RNN260325037290,planned_start,2026-03-31T11:01:00-04:00,2026-03-31T09:35:00-04:00
RNN260325037290,sequence,2,1
RNN260326039101,changed,True,False
RNN260326039101,employee_code,AI105115,AI102933
RNN260326039101,planned_end,2026-03-31T13:38:00-04:00,2026-03-31T10:06:00-04:00
RNN260326039101,planned_start,2026-03-31T12:53:00-04:00,2026-03-31T09:21:00-04:00
RNN260326039101,sequence,3,1
RNN260326042155,employee_code,AI103146,AI102315
RNN260326042155,planned_end,2026-03-31T12:09:00-04:00,2026-03-31T11:04:00-04:00
RNN260326042155,planned_start,2026-03-31T11:24:00-04:00,2026-03-31T10:19:00-04:00
RNN260327044342,employee_code,AI102933,AI103261
RNN260327044342,planned_end,2026-03-31T12:14:00-04:00,2026-03-31T13:17:00-04:00
RNN260327044342,planned_start,2026-03-31T11:29:00-04:00,2026-03-31T12:32:00-04:00
RNN260327044717,changed,True,False
RNN260327044717,employee_code,AI102315,AI102961
RNN260327044717,planned_end,2026-03-31T11:00:00-04:00,2026-03-31T10:53:00-04:00
RNN260327044717,planned_start,2026-03-31T09:20:00-04:00,2026-03-31T09:13:00-04:00
RNN260327045907,changed,False,True
RNN260327045907,employee_code,AI005576,AI103261
RNN260327045907,planned_end,2026-03-31T11:07:00-04:00,2026-03-31T10:23:00-04:00
RNN260327045907,planned_start,2026-03-31T10:22:00-04:00,2026-03-31T09:38:00-04:00
RNN260327045907,sequence,2,1
RNN260327047201,employee_code,AI102961,AI005576
RNN260327047201,planned_end,2026-03-31T10:56:00-04:00,2026-03-31T12:19:00-04:00
RNN260327047201,planned_start,2026-03-31T09:16:00-04:00,2026-03-31T10:39:00-04:00
RNN260327047201,sequence,1,2
RNN260327047292,changed,False,True
RNN260327047292,employee_code,AI103261,AI103317
RNN260327047292,planned_end,2026-03-31T10:19:00-04:00,2026-03-31T14:01:00-04:00
RNN260327047292,planned_start,2026-03-31T09:34:00-04:00,2026-03-31T13:16:00-04:00
RNN260327047292,sequence,1,2
RNN260327047906,changed,True,False
RNN260327047906,employee_code,AI105115,AI102933
RNN260327047906,planned_end,2026-03-31T10:40:00-04:00,2026-03-31T12:04:00-04:00
RNN260327047906,planned_start,2026-03-31T09:55:00-04:00,2026-03-31T11:19:00-04:00
RNN260327047906,sequence,1,3
RNN260328049141,changed,True,False
RNN260328049141,employee_code,AI103317,AI105115
RNN260328049141,planned_end,2026-03-31T09:59:00-04:00,2026-03-31T10:28:00-04:00
RNN260328049141,planned_start,2026-03-31T09:14:00-04:00,2026-03-31T09:43:00-04:00
RNN260329051001,employee_code,AI102977,AI103146
RNN260329051001,planned_end,2026-03-31T12:03:00-04:00,2026-03-31T11:45:00-04:00
RNN260329051001,planned_start,2026-03-31T10:23:00-04:00,2026-03-31T10:05:00-04:00
RNN260329051407,changed,False,True
RNN260329051407,employee_code,AI102933,AI105115
RNN260329051407,planned_end,2026-03-31T10:13:00-04:00,2026-03-31T14:06:00-04:00
RNN260329051407,planned_start,2026-03-31T09:28:00-04:00,2026-03-31T13:21:00-04:00
RNN260329051407,sequence,1,3
RNN260329051892,changed,False,True
RNN260329051892,employee_code,AI005576,AI105115
RNN260329051892,planned_end,2026-03-31T10:06:00-04:00,2026-03-31T12:00:00-04:00
RNN260329051892,planned_start,2026-03-31T09:21:00-04:00,2026-03-31T11:15:00-04:00
RNN260329051892,sequence,1,2
RNN260329051907,changed,False,True
RNN260329051907,employee_code,AI103146,AI102315
RNN260329051907,planned_end,2026-03-31T10:59:00-04:00,2026-03-31T13:09:00-04:00
RNN260329051907,planned_start,2026-03-31T09:19:00-04:00,2026-03-31T11:29:00-04:00
RNN260329051907,sequence,1,3
RNN260330052248,employee_code,AI102977,AI103146
RNN260330052248,planned_end,2026-03-31T14:10:00-04:00,2026-03-31T13:53:00-04:00
RNN260330052248,planned_start,2026-03-31T13:25:00-04:00,2026-03-31T13:08:00-04:00
RNN260330054152,employee_code,AI102933,AI103261
RNN260330054152,planned_end,2026-03-31T11:19:00-04:00,2026-03-31T14:13:00-04:00
RNN260330054152,planned_start,2026-03-31T10:34:00-04:00,2026-03-31T13:28:00-04:00
RNN260330054152,sequence,2,4
RNN260330054643,employee_code,AI102977,AI103146
RNN260330054643,planned_end,2026-03-31T10:11:00-04:00,2026-03-31T09:54:00-04:00
RNN260330054643,planned_start,2026-03-31T09:26:00-04:00,2026-03-31T09:09:00-04:00
RNN260330055628,employee_code,AI105115,AI102933
RNN260330055628,planned_end,2026-03-31T11:40:00-04:00,2026-03-31T11:04:00-04:00
RNN260330055628,planned_start,2026-03-31T10:55:00-04:00,2026-03-31T10:19:00-04:00
RNN260330056126,employee_code,AI103261,AI102977
RNN260330056126,planned_end,2026-03-31T13:33:00-04:00,2026-03-31T11:07:00-04:00
RNN260330056126,planned_start,2026-03-31T12:48:00-04:00,2026-03-31T10:22:00-04:00
RNN260330056126,sequence,3,2
RNN260330057676,changed,True,False
RNN260330057676,employee_code,AI103146,AI102315
RNN260330057676,planned_end,2026-03-31T13:56:00-04:00,2026-03-31T10:17:00-04:00
RNN260330057676,planned_start,2026-03-31T13:11:00-04:00,2026-03-31T09:32:00-04:00
RNN260330057676,sequence,3,1
RNN260331060844,changed,False,True
RNN260331060844,employee_code,AI005576,AI102977
RNN260331060844,planned_end,2026-03-31T12:56:00-04:00,2026-03-31T14:10:00-04:00
RNN260331060844,planned_start,2026-03-31T11:16:00-04:00,2026-03-31T12:30:00-04:00
