SVC_ENGINEER_CODE,field,existing,common
AI005576,route_distance_km,37.23,52.1
AI005576,route_duration_min,47.62,66.03
AI005576,total_work_min,237.62,256.03
AI005576,travel_distance_km,37.23,52.1
AI005576,travel_time_min,47.62,66.03
AI102315,job_count,2,3
AI102315,route_distance_km,90.79,55.48
AI102315,route_duration_min,81.64,61.43
AI102315,service_time_min,145.0,190.0
AI102315,total_work_min,226.64,251.43
AI102315,travel_distance_km,90.79,55.48
AI102315,travel_time_min,81.64,61.43
AI102933,job_count,4,3
AI102933,route_distance_km,65.28,43.46
AI102933,route_duration_min,71.66,50.14
AI102933,service_time_min,180.0,135.0
AI102933,total_work_min,251.66,185.14
AI102933,travel_distance_km,65.28,43.46
AI102933,travel_time_min,71.66,50.14
AI102961,job_count,3,2
AI102961,route_distance_km,28.62,80.29
AI102961,route_duration_min,43.6,74.44
AI102961,service_time_min,190.0,145.0
AI102961,total_work_min,233.6,219.44
AI102961,travel_distance_km,28.62,80.29
AI102961,travel_time_min,43.6,74.44
AI102977,route_distance_km,46.9,50.24
AI102977,route_duration_min,62.91,61.27
AI102977,total_work_min,252.91,251.27
AI102977,travel_distance_km,46.9,50.24
AI102977,travel_time_min,62.91,61.27
AI103146,route_distance_km,41.86,33.0
AI103146,route_duration_min,48.52,45.22
AI103146,total_work_min,238.52,235.22
AI103146,travel_distance_km,41.86,33.0
AI103146,travel_time_min,48.52,45.22
AI103261,job_count,3,4
AI103261,route_distance_km,80.3,69.33
AI103261,route_duration_min,78.62,73.93
AI103261,service_time_min,135.0,180.0
AI103261,total_work_min,213.62,253.93
AI103261,travel_distance_km,80.3,69.33
AI103261,travel_time_min,78.62,73.93
AI103317,route_distance_km,32.78,87.16
AI103317,route_duration_min,53.23,97.97
AI103317,total_work_min,198.23,242.97
AI103317,travel_distance_km,32.78,87.16
AI103317,travel_time_min,53.23,97.97
AI105115,route_distance_km,79.59,104.7
AI105115,route_duration_min,84.43,112.54
AI105115,total_work_min,219.43,247.54
AI105115,travel_distance_km,79.59,104.7
AI105115,travel_time_min,84.43,112.54
