STRATEGIC_CITY,Statistics,Total,DSC,Exclusive ASC,General ASC,Unknown
BANDUNG,Service Count,150.0,150.0,0.0,0.0,0.0
BANDUNG,Assigned SM,77.0,77.0,0.0,0.0,0.0
BANDUNG,Avg. Service Count,1.95,1.95,0.0,0.0,0.0
BEKASI,Service Count,850.0,672.0,84.0,94.0,0.0
BEKASI,Assigned SM,471.0,334.0,63.0,74.0,0.0
BEKASI,Avg. Service Count,1.8,2.01,1.33,1.27,0.0
BOGOR,Service Count,914.0,510.0,152.0,247.0,5.0
BOGOR,Assigned SM,592.0,293.0,101.0,194.0,4.0
BOGOR,Avg. Service Count,1.54,1.74,1.5,1.27,1.25
JAKARTA,Service Count,706.0,433.0,60.0,209.0,4.0
JAKARTA,Assigned SM,477.0,291.0,45.0,137.0,4.0
JAKARTA,Avg. Service Count,1.48,1.49,1.33,1.53,1.0
MAKASSAR,Service Count,306.0,290.0,3.0,13.0,0.0
MAKASSAR,Assigned SM,152.0,140.0,3.0,9.0,0.0
MAKASSAR,Avg. Service Count,2.01,2.07,1.0,1.44,0.0
SEMARANG,Service Count,126.0,121.0,0.0,1.0,4.0
SEMARANG,Assigned SM,63.0,58.0,0.0,1.0,4.0
SEMARANG,Avg. Service Count,2.0,2.09,0.0,1.0,1.0
TANGERANG,Service Count,650.0,140.0,278.0,222.0,10.0
TANGERANG,Assigned SM,360.0,95.0,164.0,91.0,10.0
TANGERANG,Avg. Service Count,1.81,1.47,1.7,2.44,1.0
No-STRATEGIC_CITY,Service Count,4881.0,2650.0,1063.0,1131.0,37.0
No-STRATEGIC_CITY,Assigned SM,2594.0,1292.0,538.0,731.0,33.0
No-STRATEGIC_CITY,Avg. Service Count,1.88,2.05,1.98,1.55,1.12
