subsidiary_name,strategic_city_name,employee_code,product_group_code,product_code,repair_allowed,heavy_repair_allowed,technician_city,center_type,priority_score,effective_start_date,effective_end_date
LGEID,INDONESIA,IN704710,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704710,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704710,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704710,MNT SIGNAGE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704710,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704460,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704460,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704460,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704459,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704459,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704459,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,MNT COOKING AUDIO,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,AIR CARE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,AUDIO,,True,True,,DSC,100,,
LGEID,INDONESIA,IN500280,CRT TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702772,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702772,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702772,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702772,MNT SIGNAGE,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000138,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000138,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000138,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704749,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704749,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000013,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000013,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000116,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000116,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000117,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000117,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000117,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000117,MNT SIGNAGE,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,MNT COOKING,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000065,AUDIO,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000047,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000047,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000047,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000139,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000139,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000139,COOKING,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000139,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000139,PTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704603,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704603,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704498,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704498,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704498,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704505,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704505,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704505,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704503,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704503,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704503,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704503,MNT AIR CARE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704507,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704507,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000115,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000115,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000115,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704499,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704499,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704499,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704678,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704678,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704678,AIR CARE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704674,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704674,MNT SIGNAGE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704674,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704677,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704677,MNT,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704677,MNT SIGNAGE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704677,COOKING,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704673,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704673,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN700468,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN700468,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704676,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704520,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704531,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704531,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704530,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704530,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704530,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704527,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704527,AIR CARE,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704526,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704526,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704526,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704526,MNT AUDIO,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702775,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702775,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704468,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN700466,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000126,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,ID000126,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702635,REF,,True,True,,DSC,100,,
LGEID,INDONESIA,IN702635,RAC BD,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704585,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704585,COOKING,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704585,COMMERCIAL TV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704595,LTV,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704595,COOKING,,True,True,,DSC,100,,
LGEID,INDONESIA,IN704584,REF,,True,True,,DSC,100,,
