address_key,attempted_date,status,source
6150 OXON HILL ROAD|OXON HILL|MD|20745|USA,2026-03-16,OK,google_geocoding_api
133 BROOKE FOREST COURT LOT 7|ALPHARETTA|GA|30022|USA,2026-03-16,OK,google_geocoding_api
"130 HUNTERS HILL CIR ARGYLE, TX, 76226|ARGYLE|TX|76226|USA",2026-03-16,REQUEST_DENIED,google_geocoding_api
1 ACUITY WAY|DECATUR|GA|30035|USA,2026-03-16,OK,google_geocoding_api
"8007 E LOFTWOOD LN ORANGE ,CA ,92867|ORANGE|CA|92867|USA",2026-03-16,OK,google_geocoding_api
"1931 KAYCEE CIRCLE LOT 14 BLOCK E MIDLOTHIAN ,TX ,76065|MIDLOTHIAN|TX|76065|USA",2026-03-16,OK,google_geocoding_api
7481 COUNTY ROAD 1230|GODLEY|TX|76044|USA,2026-03-16,OK,google_geocoding_api
"3501 WOODLAND HILLS FLOWER MOUND ,TX ,75022|FLOWER MOUND|TX|75022|USA",2026-03-16,OK,google_geocoding_api
6490 TRADING SQUARE|HAYMARKET|VA|20169|USA,2026-03-16,OK,google_geocoding_api
"4160 WEST BOY SCOUT BOULEVARD , TAMPA, FL, 33607 TAMPA ,FL ,33607|TAMPA|FL|33607|USA",2026-03-16,OK,google_geocoding_api
14553 FLOSSIE STREET|CELINA|TX|75009|USA,2026-03-16,OK,google_geocoding_api
5390 E SAN JUAN DR|ORANGE|CA|92869|USA,2026-03-16,OK,google_geocoding_api
39 PELHAM RIDGE DRIVE|MARIETTA|GA|30066|USA,2026-03-16,OK,google_geocoding_api
"260 CUMBERLAND ST. APT 27 BROOKLYN ,NY ,11217|BROOKLYN|NY|11217|USA",2026-03-16,OK,google_geocoding_api
11925 N STEMMONS FWY|DALLAS|TX|75247|USA,2026-03-16,OK,google_geocoding_api
"7000 COMMERCE PARKWAY, SUITE C|MOUNT LAUREL|NJ|8054|USA",2026-03-16,OK,google_geocoding_api
"12255 BRANTLEY HILLS LN. , LAS VEGAS ,NV ,89138|LAS VEGAS|NV|89138|USA",2026-03-16,OK,google_geocoding_api
400 PACIFIC COAST HIGHWAY|EL SEGUNDO|CA|90245|USA,2026-03-16,OK,google_geocoding_api
8725 EDGEWATER DR|THE COLONY|TX|75056|USA,2026-03-16,OK,google_geocoding_api
1 ROBERT WOOD JOHNSON PLACE|NEW BRUNSWICK|NJ|8901|USA,2026-03-16,OK,google_geocoding_api
832 BELLA CASA DR|KELLER|TX|76248|USA,2026-03-16,OK,google_geocoding_api
