POSTAL_CODE,region_id,region_seq,new_region_name,area_type
30002,atlanta_ga_r03,3,Atlanta New Region 3,
30004,atlanta_ga_r01,1,Atlanta New Region 1,
30005,atlanta_ga_r01,1,Atlanta New Region 1,
30008,atlanta_ga_r02,2,Atlanta New Region 2,
30009,atlanta_ga_r01,1,Atlanta New Region 1,
30011,atlanta_ga_r01,1,Atlanta New Region 1,
30012,atlanta_ga_r03,3,Atlanta New Region 3,
30013,atlanta_ga_r03,3,Atlanta New Region 3,
30014,atlanta_ga_r03,3,Atlanta New Region 3,
30016,atlanta_ga_r03,3,Atlanta New Region 3,
30017,atlanta_ga_r01,1,Atlanta New Region 1,
30019,atlanta_ga_r01,1,Atlanta New Region 1,
30021,atlanta_ga_r02,2,Atlanta New Region 2,
30022,atlanta_ga_r01,1,Atlanta New Region 1,
30024,atlanta_ga_r01,1,Atlanta New Region 1,
30025,atlanta_ga_r03,3,Atlanta New Region 3,
30028,atlanta_ga_r01,1,Atlanta New Region 1,
30030,atlanta_ga_r03,3,Atlanta New Region 3,
30032,atlanta_ga_r03,3,Atlanta New Region 3,
30033,atlanta_ga_r03,3,Atlanta New Region 3,
30034,atlanta_ga_r03,3,Atlanta New Region 3,
30035,atlanta_ga_r02,2,Atlanta New Region 2,
30038,atlanta_ga_r03,3,Atlanta New Region 3,
30039,atlanta_ga_r01,1,Atlanta New Region 1,
30040,atlanta_ga_r01,1,Atlanta New Region 1,
30041,atlanta_ga_r01,1,Atlanta New Region 1,
30043,atlanta_ga_r01,1,Atlanta New Region 1,
30044,atlanta_ga_r01,1,Atlanta New Region 1,
30045,atlanta_ga_r01,1,Atlanta New Region 1,
30046,atlanta_ga_r01,1,Atlanta New Region 1,
30047,atlanta_ga_r01,1,Atlanta New Region 1,
30052,atlanta_ga_r01,1,Atlanta New Region 1,
30054,atlanta_ga_r01,1,Atlanta New Region 1,
30055,atlanta_ga_r03,3,Atlanta New Region 3,
30058,atlanta_ga_r03,3,Atlanta New Region 3,
30060,atlanta_ga_r02,2,Atlanta New Region 2,
30062,atlanta_ga_r02,2,Atlanta New Region 2,
30064,atlanta_ga_r02,2,Atlanta New Region 2,
30066,atlanta_ga_r02,2,Atlanta New Region 2,
30067,atlanta_ga_r02,2,Atlanta New Region 2,
30068,atlanta_ga_r02,2,Atlanta New Region 2,
30071,atlanta_ga_r01,1,Atlanta New Region 1,
30075,atlanta_ga_r02,2,Atlanta New Region 2,
30076,atlanta_ga_r02,2,Atlanta New Region 2,
30078,atlanta_ga_r01,1,Atlanta New Region 1,
30079,atlanta_ga_r03,3,Atlanta New Region 3,
30080,atlanta_ga_r02,2,Atlanta New Region 2,
30082,atlanta_ga_r02,2,Atlanta New Region 2,
30083,atlanta_ga_r03,3,Atlanta New Region 3,
30084,atlanta_ga_r01,1,Atlanta New Region 1,
30087,atlanta_ga_r01,1,Atlanta New Region 1,
30088,atlanta_ga_r03,3,Atlanta New Region 3,
30092,atlanta_ga_r01,1,Atlanta New Region 1,
30093,atlanta_ga_r01,1,Atlanta New Region 1,
30094,atlanta_ga_r03,3,Atlanta New Region 3,
30096,atlanta_ga_r01,1,Atlanta New Region 1,
30097,atlanta_ga_r01,1,Atlanta New Region 1,
30101,atlanta_ga_r02,2,Atlanta New Region 2,
30102,atlanta_ga_r02,2,Atlanta New Region 2,
30106,atlanta_ga_r02,2,Atlanta New Region 2,
30107,atlanta_ga_r02,2,Atlanta New Region 2,
30110,atlanta_ga_r02,2,Atlanta New Region 2,
30114,atlanta_ga_r02,2,Atlanta New Region 2,
30115,atlanta_ga_r02,2,Atlanta New Region 2,
30116,atlanta_ga_r02,2,Atlanta New Region 2,
30117,atlanta_ga_r02,2,Atlanta New Region 2,
30120,atlanta_ga_r02,2,Atlanta New Region 2,
30122,atlanta_ga_r02,2,Atlanta New Region 2,
30126,atlanta_ga_r02,2,Atlanta New Region 2,
30127,atlanta_ga_r02,2,Atlanta New Region 2,
30132,atlanta_ga_r02,2,Atlanta New Region 2,
30134,atlanta_ga_r02,2,Atlanta New Region 2,
30135,atlanta_ga_r02,2,Atlanta New Region 2,
30141,atlanta_ga_r02,2,Atlanta New Region 2,
30143,atlanta_ga_r01,1,Atlanta New Region 1,
30144,atlanta_ga_r02,2,Atlanta New Region 2,
30148,atlanta_ga_r01,1,Atlanta New Region 1,
30152,atlanta_ga_r02,2,Atlanta New Region 2,
30157,atlanta_ga_r02,2,Atlanta New Region 2,
30168,atlanta_ga_r02,2,Atlanta New Region 2,
30175,atlanta_ga_r01,1,Atlanta New Region 1,
30179,atlanta_ga_r02,2,Atlanta New Region 2,
30180,atlanta_ga_r02,2,Atlanta New Region 2,
