baseline_service_file,STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,service_count,latitude,longitude
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90001,los_angeles_ca_r01,1,Region 1,0.23,33.973461394848705,-118.25193876898857
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90002,los_angeles_ca_r01,1,Region 1,0.05,33.951680337473334,-118.24966442240934
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90003,los_angeles_ca_r01,1,Region 1,0.05,33.964070168072666,-118.27116602509
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90004,los_angeles_ca_r01,1,Region 1,0.28,34.07575575383511,-118.31099614442068
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90005,los_angeles_ca_r01,1,Region 1,0.18,34.058746012687,-118.3174150854885
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90006,los_angeles_ca_r01,1,Region 1,0.05,34.04612054184,-118.295033677375
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90007,los_angeles_ca_r01,1,Region 1,0.04,34.023199489014,-118.288118605139
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90008,los_angeles_ca_r01,1,Region 1,0.14,34.01236755282588,-118.34947601160611
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90010,los_angeles_ca_r01,1,Region 1,0.26,34.061739204679206,-118.30530250346118
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90011,los_angeles_ca_r01,1,Region 1,0.16,34.012949504176,-118.26288261180773
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90012,los_angeles_ca_r01,1,Region 1,0.05,34.053339411391995,-118.24201285918532
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90015,los_angeles_ca_r01,1,Region 1,0.02,34.04564828147,-118.266479145464
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90016,los_angeles_ca_r01,1,Region 1,0.16,34.02503343793455,-118.35765698556769
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90018,los_angeles_ca_r01,1,Region 1,0.12,34.0223206808636,-118.314908344563
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90019,los_angeles_ca_r01,1,Region 1,0.46,34.05113739668229,-118.3282944732411
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90020,los_angeles_ca_r01,1,Region 1,0.26,34.06523389153794,-118.3079828734056
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90021,los_angeles_ca_r01,1,Region 1,0.04,34.035776384657495,-118.233367206476
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90022,los_angeles_ca_r01,1,Region 1,0.23,34.02730665719661,-118.17170120765854
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90023,los_angeles_ca_r01,1,Region 1,0.04,34.015987457912004,-118.192449693211
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90024,los_angeles_ca_r01,1,Region 1,0.18,34.0608828592585,-118.4320448971168
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90025,los_angeles_ca_r01,1,Region 1,0.25,34.04640417331286,-118.44299267945696
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90026,los_angeles_ca_r01,1,Region 1,0.11,34.08032008343667,-118.25869972703984
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90027,los_angeles_ca_r01,1,Region 1,1.39,34.09992781475708,-118.29997137653837
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90028,los_angeles_ca_r01,1,Region 1,0.18,34.0982856521072,-118.3399057907131
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90029,los_angeles_ca_r01,1,Region 1,0.05,34.093163279916006,-118.295656000412
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90031,los_angeles_ca_r01,1,Region 1,0.09,34.083003502078,-118.2106491942586
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90032,los_angeles_ca_r01,1,Region 1,0.12,34.087606802259,-118.17198517884114
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90033,los_angeles_ca_r01,1,Region 1,0.07,34.048311424295754,-118.217601039404
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90034,los_angeles_ca_r01,1,Region 1,0.23,34.03529979309295,-118.39211665004076
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90035,los_angeles_ca_r01,1,Region 1,0.32,34.05228174106673,-118.38737362444456
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90036,los_angeles_ca_r01,1,Region 1,0.16,34.07237231140325,-118.34684362125712
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90037,los_angeles_ca_r01,1,Region 1,0.09,34.0040877855114,-118.2869910613338
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90038,los_angeles_ca_r01,1,Region 1,0.07,34.09037817963833,-118.33729162124132
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90039,los_angeles_ca_r01,1,Region 1,0.07,34.10566669677525,-118.26289863865576
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90040,los_angeles_ca_r01,1,Region 1,0.04,34.011108211343995,-118.166700297925
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90041,los_angeles_ca_r01,1,Region 1,0.3,34.138907451054074,-118.20079911731486
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90042,los_angeles_ca_r01,1,Region 1,0.26,34.11284241037232,-118.18565729898422
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90043,los_angeles_ca_r01,1,Region 1,0.3,33.98839457519909,-118.33857047875908
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90044,los_angeles_ca_r01,1,Region 1,0.11,33.93602215876433,-118.29069168176916
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90045,los_angeles_ca_r01,1,Region 1,0.28,33.966970732126654,-118.39867832540962
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90046,los_angeles_ca_r01,1,Region 1,0.12,34.10750439071416,-118.37180750434231
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90047,los_angeles_ca_r01,1,Region 1,0.35,33.958254395802,-118.30670695907124
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90048,los_angeles_ca_r01,1,Region 1,0.25,34.068337892861564,-118.3703026568854
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90049,los_angeles_ca_r01,1,Region 1,0.3,34.06505576841602,-118.46902578932912
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90056,los_angeles_ca_r01,1,Region 1,0.12,33.98362411868308,-118.37186191323592
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90057,los_angeles_ca_r01,1,Region 1,0.05,34.06552287748867,-118.27892930110832
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90058,los_angeles_ca_r01,1,Region 1,0.02,33.998517518758,-118.180585715632
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90059,los_angeles_ca_r01,1,Region 1,0.25,33.924343930718045,-118.25192039248664
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90061,los_angeles_ca_r01,1,Region 1,0.07,33.91943789036525,-118.2727985067405
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90062,los_angeles_ca_r01,1,Region 1,0.05,34.004135549446005,-118.30453544331874
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90063,los_angeles_ca_r01,1,Region 1,0.14,34.038806042734784,-118.18690639608064
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90064,los_angeles_ca_r01,1,Region 1,0.26,34.0384988504235,-118.4203668429785
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90065,los_angeles_ca_r01,1,Region 1,0.19,34.11543708357405,-118.2253206537954
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90066,los_angeles_ca_r01,1,Region 1,0.16,34.006566952459124,-118.43729175900262
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90067,los_angeles_ca_r01,1,Region 1,0.07,34.05582637210275,-118.4098451179535
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90068,los_angeles_ca_r01,1,Region 1,0.18,34.11925928160978,-118.33524000681862
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90069,los_angeles_ca_r01,1,Region 1,0.19,34.09124897748606,-118.3767930109075
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90077,los_angeles_ca_r01,1,Region 1,0.07,34.100674245899,-118.46089262292824
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90201,los_angeles_ca_r01,1,Region 1,0.21,33.96903678589477,-118.16846404960916
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90210,los_angeles_ca_r01,1,Region 1,0.16,34.09342925770794,-118.41141533039968
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90211,los_angeles_ca_r01,1,Region 1,0.12,34.067459699148,-118.38210363569358
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90212,los_angeles_ca_r01,1,Region 1,0.04,34.061066600721,-118.409292652829
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90220,los_angeles_ca_r01,1,Region 1,0.23,33.89391003296655,-118.2390902651172
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90221,los_angeles_ca_r01,1,Region 1,0.16,33.891307244942006,-118.20519842303122
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90222,los_angeles_ca_r01,1,Region 1,0.09,33.90963935803388,-118.24093361714424
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90230,los_angeles_ca_r01,1,Region 1,0.11,33.99633343992567,-118.40161719245732
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90232,los_angeles_ca_r01,1,Region 1,0.11,34.01866829215417,-118.39326187994168
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90245,los_angeles_ca_r01,1,Region 1,0.12,33.92427630379871,-118.41138697280284
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90247,los_angeles_ca_r01,1,Region 1,0.23,33.893625673866,-118.29544141736014
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90248,los_angeles_ca_r01,1,Region 1,0.09,33.8687887286662,-118.298180606308
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90249,los_angeles_ca_r01,1,Region 1,0.16,33.893452042481336,-118.32465947153132
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90250,los_angeles_ca_r01,1,Region 1,0.37,33.91323322344103,-118.35724037120158
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90254,los_angeles_ca_r01,1,Region 1,0.11,33.861396929919664,-118.39514463695782
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90255,los_angeles_ca_r01,1,Region 1,0.14,33.9753676954665,-118.21179289198348
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90260,los_angeles_ca_r01,1,Region 1,0.07,33.8949774042845,-118.3552209302315
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90262,los_angeles_ca_r01,1,Region 1,0.28,33.918652704171535,-118.1982262378946
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90266,los_angeles_ca_r01,1,Region 1,0.19,33.88791327407511,-118.39668290121428
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90270,los_angeles_ca_r01,1,Region 1,0.05,33.99019603922233,-118.19370322518968
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90274,los_angeles_ca_r01,1,Region 1,0.26,33.780130454754584,-118.37603276121592
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90275,los_angeles_ca_r01,1,Region 1,0.3,33.769370238550735,-118.3625377483733
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90277,los_angeles_ca_r01,1,Region 1,0.26,33.82867004241367,-118.38320203835362
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90278,los_angeles_ca_r01,1,Region 1,0.32,33.870382884746654,-118.37110800778903
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90280,los_angeles_ca_r01,1,Region 1,0.35,33.94155951223883,-118.2003667363084
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90291,los_angeles_ca_r01,1,Region 1,0.07,33.995614113573254,-118.46339744696375
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90292,los_angeles_ca_r01,1,Region 1,0.11,33.978920260765165,-118.45306112185015
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90293,los_angeles_ca_r01,1,Region 1,0.04,33.9565862804355,-118.4393333268585
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90301,los_angeles_ca_r01,1,Region 1,0.14,33.95673146848012,-118.35591765851312
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90302,los_angeles_ca_r01,1,Region 1,0.14,33.975651754002286,-118.34977607244493
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90303,los_angeles_ca_r01,1,Region 1,0.07,33.938609178133504,-118.33076046502632
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90304,los_angeles_ca_r01,1,Region 1,0.05,33.93955529861267,-118.356922827946
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90305,los_angeles_ca_r01,1,Region 1,0.12,33.95402434975485,-118.32687675371572
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90401,los_angeles_ca_r01,1,Region 1,0.02,34.019136246286,-118.487189748712
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90402,los_angeles_ca_r01,1,Region 1,0.05,34.02814476551566,-118.50978724262234
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90403,los_angeles_ca_r01,1,Region 1,0.19,34.02976489240117,-118.49278657507747
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90404,los_angeles_ca_r01,1,Region 1,0.12,34.028703813554586,-118.47652152093632
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90405,los_angeles_ca_r01,1,Region 1,0.16,34.01041976082,-118.470626541531
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90501,los_angeles_ca_r01,1,Region 1,0.09,33.8207783314762,-118.3149899546906
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90502,los_angeles_ca_r01,1,Region 1,0.12,33.83003514755343,-118.29590518653184
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90503,los_angeles_ca_r01,1,Region 1,0.25,33.838569995009884,-118.3518445521675
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90504,los_angeles_ca_r01,1,Region 1,0.16,33.8702100708065,-118.32941670267864
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90505,los_angeles_ca_r01,1,Region 1,0.25,33.81292379450873,-118.3517805226348
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90710,los_angeles_ca_r01,1,Region 1,0.14,33.7982860948715,-118.29770147541772
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90717,los_angeles_ca_r01,1,Region 1,0.16,33.79143768200962,-118.31662834050806
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90731,los_angeles_ca_r01,1,Region 1,0.12,33.738343316458426,-118.29439951806184
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90732,los_angeles_ca_r01,1,Region 1,0.12,33.742745984268,-118.31336338461928
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90744,los_angeles_ca_r01,1,Region 1,0.21,33.78777722142827,-118.26386823328522
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90745,los_angeles_ca_r01,1,Region 1,0.19,33.82317186377827,-118.26770290568555
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90746,los_angeles_ca_r01,1,Region 1,0.25,33.8599836778554,-118.25660117829788
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,90810,los_angeles_ca_r01,1,Region 1,0.05,33.820298921566334,-118.22137087543769
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91001,los_angeles_ca_r01,1,Region 1,0.19,34.18910779842322,-118.13933252031796
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91011,los_angeles_ca_r01,1,Region 1,0.04,34.2059714824805,-118.190441867051
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91020,los_angeles_ca_r01,1,Region 1,0.05,34.213661203068,-118.233153288227
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91030,los_angeles_ca_r01,1,Region 1,0.11,34.107581037855,-118.15865009917232
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91042,los_angeles_ca_r01,1,Region 1,0.25,34.25874984291955,-118.2884351554396
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91101,los_angeles_ca_r01,1,Region 1,0.07,34.145562405890246,-118.137516539486
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91103,los_angeles_ca_r01,1,Region 1,0.14,34.16722664705175,-118.15894900498724
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91104,los_angeles_ca_r01,1,Region 1,0.26,34.16810951053093,-118.11471120127912
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91105,los_angeles_ca_r01,1,Region 1,0.09,34.1414758497092,-118.1686825441186
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91106,los_angeles_ca_r01,1,Region 1,0.14,34.13772552798672,-118.12704816399943
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91107,los_angeles_ca_r01,1,Region 1,0.19,34.15767985882604,-118.08229851022962
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91108,los_angeles_ca_r01,1,Region 1,0.07,34.11761055768725,-118.1050274924165
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91201,los_angeles_ca_r01,1,Region 1,0.11,34.17235628400675,-118.28913815603276
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91202,los_angeles_ca_r01,1,Region 1,0.12,34.1658203653493,-118.2679447931152
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91205,los_angeles_ca_r01,1,Region 1,0.12,34.13894746654433,-118.24365440908268
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91206,los_angeles_ca_r01,1,Region 1,0.12,34.15957432966034,-118.22890882379232
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91207,los_angeles_ca_r01,1,Region 1,0.04,34.163158610118,-118.247969935128
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91208,los_angeles_ca_r01,1,Region 1,0.19,34.1940222812827,-118.2315541862771
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91214,los_angeles_ca_r01,1,Region 1,0.28,34.23100660619944,-118.24926175103847
260310\input\Service_202605291521_normalized_geocoded.csv,"Los Angeles, CA",6,91423,los_angeles_ca_r01,1,Region 1,0.14,34.1481167245725,-118.43275780203184
