POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
90001,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90002,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90003,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90004,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90005,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90006,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90007,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90008,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90009,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90010,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90011,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90012,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90013,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90014,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90015,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90016,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90017,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90018,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90019,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90020,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90021,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90022,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90023,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90024,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90025,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90026,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90027,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90028,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90029,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90030,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90031,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90032,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90033,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90034,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90035,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90036,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90037,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90038,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90039,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90040,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90041,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90042,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90043,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90044,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90045,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90046,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90047,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90048,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90049,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90050,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90051,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90052,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90053,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90054,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90055,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90056,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90057,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90058,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90059,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90060,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90061,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90062,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90063,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90064,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90065,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90066,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90067,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90068,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90069,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90070,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90071,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90073,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90074,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
90075,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90076,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90077,"Los Angeles, CA - Bucket Sim Draft",3,3,C,C,OVERLAP
90078,"Los Angeles, CA - Bucket Sim Draft",8,8,H,H,OVERLAP
