baseline_service_file,STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,service_count,latitude,longitude
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08085,philadelphia_pa_r01,1,Region 1,0.16,39.753766,-75.3310402
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19008,philadelphia_pa_r01,1,Region 1,0.12,39.9742189,-75.361244
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19010,philadelphia_pa_r01,1,Region 1,0.22,40.0237641,-75.3304712
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19013,philadelphia_pa_r01,1,Region 1,0.09,39.8454139,-75.374817
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19014,philadelphia_pa_r01,1,Region 1,0.41,39.8649072,-75.4329577
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19015,philadelphia_pa_r01,1,Region 1,0.09,39.8665295,-75.391496
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19033,philadelphia_pa_r01,1,Region 1,0.09,39.8908045,-75.3288497
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19041,philadelphia_pa_r01,1,Region 1,0.06,40.0044843,-75.3200022
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19060,philadelphia_pa_r01,1,Region 1,0.16,39.8506991,-75.4919649
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19061,philadelphia_pa_r01,1,Region 1,0.09,39.8278182,-75.4319263
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19063,philadelphia_pa_r01,1,Region 1,0.22,39.9222285,-75.414058
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19064,philadelphia_pa_r01,1,Region 1,0.25,39.9320784,-75.3389621
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19073,philadelphia_pa_r01,1,Region 1,0.06,39.9832527,-75.4292182
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19078,philadelphia_pa_r01,1,Region 1,0.03,39.8736405,-75.3213307
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19085,philadelphia_pa_r01,1,Region 1,0.06,40.0369727,-75.349913
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19086,philadelphia_pa_r01,1,Region 1,0.19,39.8909427,-75.37016
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19087,philadelphia_pa_r01,1,Region 1,0.22,40.0620985,-75.4003943
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19094,philadelphia_pa_r01,1,Region 1,0.03,39.8750329,-75.3466942
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19312,philadelphia_pa_r01,1,Region 1,0.16,40.032159,-75.4513538
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19317,philadelphia_pa_r01,1,Region 1,0.12,39.8624607,-75.6027869
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19342,philadelphia_pa_r01,1,Region 1,0.25,39.9076384,-75.5000252
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19373,philadelphia_pa_r01,1,Region 1,0.09,39.9011034,-75.5334985
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19401,philadelphia_pa_r01,1,Region 1,0.09,40.1301797,-75.3316289
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19403,philadelphia_pa_r01,1,Region 1,0.41,40.1485227,-75.3790798
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19405,philadelphia_pa_r01,1,Region 1,0.03,40.0996436,-75.334292
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19406,philadelphia_pa_r01,1,Region 1,0.16,40.0948791,-75.3856845
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19701,philadelphia_pa_r01,1,Region 1,0.25,39.5838947,-75.6969951
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19702,philadelphia_pa_r01,1,Region 1,0.41,39.6181998,-75.7297243
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19703,philadelphia_pa_r01,1,Region 1,0.09,39.8015141,-75.4538529
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19707,philadelphia_pa_r01,1,Region 1,0.12,39.785594,-75.68364
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19709,philadelphia_pa_r01,1,Region 1,0.56,39.4943689,-75.67747
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19711,philadelphia_pa_r01,1,Region 1,0.22,39.7137809,-75.7408261
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19713,philadelphia_pa_r01,1,Region 1,0.09,39.6707511,-75.7101225
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19720,philadelphia_pa_r01,1,Region 1,0.16,39.6454667,-75.6044962
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19801,philadelphia_pa_r01,1,Region 1,0.16,39.723588,-75.5412081
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19802,philadelphia_pa_r01,1,Region 1,0.03,39.7550415,-75.5264624
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19803,philadelphia_pa_r01,1,Region 1,0.31,39.7998719,-75.5422315
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19804,philadelphia_pa_r01,1,Region 1,0.03,39.7187611,-75.6218676
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19805,philadelphia_pa_r01,1,Region 1,0.25,39.7452101,-75.593712
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19806,philadelphia_pa_r01,1,Region 1,0.06,39.7625423,-75.5632982
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19808,philadelphia_pa_r01,1,Region 1,0.34,39.7376151,-75.6670572
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19809,philadelphia_pa_r01,1,Region 1,0.09,39.7566739,-75.5010351
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19810,philadelphia_pa_r01,1,Region 1,0.09,39.818682,-75.5061826
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,21901,philadelphia_pa_r01,1,Region 1,0.06,39.5830567,-75.9667998
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,21921,philadelphia_pa_r01,1,Region 1,0.22,39.6271448,-75.8598906
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08002,philadelphia_pa_r02,2,Region 2,0.38,39.9346045,-75.025389
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08003,philadelphia_pa_r02,2,Region 2,0.09,39.885852,-74.9711455
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08007,philadelphia_pa_r02,2,Region 2,0.06,39.8650828,-75.0537617
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08009,philadelphia_pa_r02,2,Region 2,0.22,39.7606563,-74.9328602
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08012,philadelphia_pa_r02,2,Region 2,0.19,39.7838154,-75.0560675
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08020,philadelphia_pa_r02,2,Region 2,0.03,39.794221,-75.222232
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08021,philadelphia_pa_r02,2,Region 2,0.12,39.8061555,-75.0000121
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08028,philadelphia_pa_r02,2,Region 2,0.12,39.6921289,-75.1246749
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08029,philadelphia_pa_r02,2,Region 2,0.06,39.8409371,-75.0672112
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08030,philadelphia_pa_r02,2,Region 2,0.09,39.889564,-75.1184938
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08031,philadelphia_pa_r02,2,Region 2,0.09,39.866356,-75.0946695
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08033,philadelphia_pa_r02,2,Region 2,0.12,39.8924215,-75.0366508
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08034,philadelphia_pa_r02,2,Region 2,0.19,39.9061003,-75.0003751
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08035,philadelphia_pa_r02,2,Region 2,0.06,39.8791269,-75.0659184
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08043,philadelphia_pa_r02,2,Region 2,0.31,39.8485702,-74.9528435
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08045,philadelphia_pa_r02,2,Region 2,0.03,39.8672108,-75.029156
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08049,philadelphia_pa_r02,2,Region 2,0.06,39.8545751,-75.0381369
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08051,philadelphia_pa_r02,2,Region 2,0.06,39.7840248,-75.175979
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08056,philadelphia_pa_r02,2,Region 2,0.16,39.7836833,-75.2553016
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08059,philadelphia_pa_r02,2,Region 2,0.06,39.8848248,-75.0926673
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08062,philadelphia_pa_r02,2,Region 2,0.12,39.7160945,-75.2192671
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08071,philadelphia_pa_r02,2,Region 2,0.03,39.7316539,-75.1342565
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08078,philadelphia_pa_r02,2,Region 2,0.06,39.8534114,-75.0755019
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08080,philadelphia_pa_r02,2,Region 2,0.22,39.7573532,-75.1220433
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08081,philadelphia_pa_r02,2,Region 2,0.72,39.7329417,-74.9766568
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08083,philadelphia_pa_r02,2,Region 2,0.06,39.8413072,-75.0286131
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08084,philadelphia_pa_r02,2,Region 2,0.03,39.82899,-75.0155362
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08086,philadelphia_pa_r02,2,Region 2,0.16,39.8512125,-75.185663
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08090,philadelphia_pa_r02,2,Region 2,0.09,39.7979858,-75.1485261
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08091,philadelphia_pa_r02,2,Region 2,0.03,39.807116,-74.9241783
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08093,philadelphia_pa_r02,2,Region 2,0.06,39.861571,-75.1329747
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08094,philadelphia_pa_r02,2,Region 2,0.22,39.6506006,-74.9593112
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08096,philadelphia_pa_r02,2,Region 2,0.09,39.8294016,-75.1290321
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08103,philadelphia_pa_r02,2,Region 2,0.03,39.9352024,-75.1127029
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08105,philadelphia_pa_r02,2,Region 2,0.03,39.9503396,-75.0962779
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08106,philadelphia_pa_r02,2,Region 2,0.03,39.8909917,-75.0733288
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08108,philadelphia_pa_r02,2,Region 2,0.06,39.9150477,-75.0622435
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,08109,philadelphia_pa_r02,2,Region 2,0.12,39.9493303,-75.0495297
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19018,philadelphia_pa_r02,2,Region 2,0.06,39.9231458,-75.2983222
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19023,philadelphia_pa_r02,2,Region 2,0.06,39.9172403,-75.2670862
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19026,philadelphia_pa_r02,2,Region 2,0.09,39.9503538,-75.3040475
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19032,philadelphia_pa_r02,2,Region 2,0.03,39.8882463,-75.2757744
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19036,philadelphia_pa_r02,2,Region 2,0.06,39.9037117,-75.2932363
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19050,philadelphia_pa_r02,2,Region 2,0.16,39.9376388,-75.2635085
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19074,philadelphia_pa_r02,2,Region 2,0.09,39.8859902,-75.2957559
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19082,philadelphia_pa_r02,2,Region 2,0.16,39.9604279,-75.2703203
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19083,philadelphia_pa_r02,2,Region 2,0.31,39.9771533,-75.3119474
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19103,philadelphia_pa_r02,2,Region 2,0.16,39.953372,-75.1741867
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19106,philadelphia_pa_r02,2,Region 2,0.03,39.9466488,-75.1422316
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19123,philadelphia_pa_r02,2,Region 2,0.12,39.9637337,-75.1454818
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19125,philadelphia_pa_r02,2,Region 2,0.22,39.9765201,-75.1246555
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19130,philadelphia_pa_r02,2,Region 2,0.16,39.967502,-75.1746715
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19139,philadelphia_pa_r02,2,Region 2,0.12,39.9615748,-75.2311461
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19142,philadelphia_pa_r02,2,Region 2,0.12,39.9217521,-75.233279
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19143,philadelphia_pa_r02,2,Region 2,0.12,39.9438059,-75.2265512
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19145,philadelphia_pa_r02,2,Region 2,0.19,39.9145012,-75.1912173
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19146,philadelphia_pa_r02,2,Region 2,0.25,39.9394957,-75.1841456
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19147,philadelphia_pa_r02,2,Region 2,0.16,39.9364044,-75.1547288
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19148,philadelphia_pa_r02,2,Region 2,0.12,39.9116118,-75.1514751
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19153,philadelphia_pa_r02,2,Region 2,0.06,39.8799865,-75.2379076
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,18936,philadelphia_pa_r03,3,Region 3,0.03,40.2264925,-75.2280909
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,18954,philadelphia_pa_r03,3,Region 3,0.09,40.225413,-74.9929569
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,18966,philadelphia_pa_r03,3,Region 3,0.19,40.1884675,-75.0098978
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,18974,philadelphia_pa_r03,3,Region 3,0.31,40.2170615,-75.072803
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19001,philadelphia_pa_r03,3,Region 3,0.06,40.12623,-75.1265114
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19002,philadelphia_pa_r03,3,Region 3,0.22,40.1877533,-75.215847
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19003,philadelphia_pa_r03,3,Region 3,0.03,40.0021131,-75.2983952
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19004,philadelphia_pa_r03,3,Region 3,0.03,40.0097528,-75.2315075
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19006,philadelphia_pa_r03,3,Region 3,0.16,40.1285725,-75.0597185
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19012,philadelphia_pa_r03,3,Region 3,0.09,40.0596915,-75.1058737
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19020,philadelphia_pa_r03,3,Region 3,0.28,40.0997485,-74.9378293
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19025,philadelphia_pa_r03,3,Region 3,0.09,40.1455842,-75.1632238
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19027,philadelphia_pa_r03,3,Region 3,0.12,40.0734499,-75.1245447
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19031,philadelphia_pa_r03,3,Region 3,0.03,40.1082497,-75.217468
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19034,philadelphia_pa_r03,3,Region 3,0.06,40.1335152,-75.2095093
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19035,philadelphia_pa_r03,3,Region 3,0.03,40.0513493,-75.2776415
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19038,philadelphia_pa_r03,3,Region 3,0.16,40.10521,-75.1698118
260310\input\Service_202607071543_normalized_geocoded.csv,"Philadelphia, PA",3,19040,philadelphia_pa_r03,3,Region 3,0.06,40.1772937,-75.1061898
