baseline_service_file,STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,service_count,latitude,longitude
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92003,san_diego_ca_r01,1,Region 1,0.06,33.2852743,-117.1977769
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92007,san_diego_ca_r01,1,Region 1,0.13,33.0230461,-117.2755809
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92008,san_diego_ca_r01,1,Region 1,0.16,33.1424801,-117.313444
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92009,san_diego_ca_r01,1,Region 1,0.58,33.0953394,-117.2457689
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92010,san_diego_ca_r01,1,Region 1,0.16,33.1653815,-117.2814268
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92011,san_diego_ca_r01,1,Region 1,0.23,33.106764,-117.2963265
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92014,san_diego_ca_r01,1,Region 1,0.16,32.9632316,-117.2503668
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92024,san_diego_ca_r01,1,Region 1,0.52,33.0568676,-117.2575772
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92037,san_diego_ca_r01,1,Region 1,0.45,32.8546424,-117.2517716
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92054,san_diego_ca_r01,1,Region 1,0.19,33.1930693,-117.3596758
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92056,san_diego_ca_r01,1,Region 1,0.39,33.1995824,-117.2987641
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92057,san_diego_ca_r01,1,Region 1,0.39,33.2546197,-117.283311
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92058,san_diego_ca_r01,1,Region 1,0.06,33.2639736,-117.3447773
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92067,san_diego_ca_r01,1,Region 1,0.06,33.0209084,-117.1903457
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92075,san_diego_ca_r01,1,Region 1,0.03,32.9972485,-117.2605796
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92078,san_diego_ca_r01,1,Region 1,0.42,33.1170652,-117.1808072
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92081,san_diego_ca_r01,1,Region 1,0.26,33.1645491,-117.2405496
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92083,san_diego_ca_r01,1,Region 1,0.19,33.1980841,-117.2483642
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92084,san_diego_ca_r01,1,Region 1,0.29,33.2272828,-117.2000848
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92091,san_diego_ca_r01,1,Region 1,0.1,33.052389,-117.1828166
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92106,san_diego_ca_r01,1,Region 1,0.23,32.7098847,-117.2378575
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92107,san_diego_ca_r01,1,Region 1,0.06,32.7390553,-117.2454042
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92109,san_diego_ca_r01,1,Region 1,0.32,32.7867719,-117.2342066
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92110,san_diego_ca_r01,1,Region 1,0.16,32.7652442,-117.2003912
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92117,san_diego_ca_r01,1,Region 1,0.42,32.8248932,-117.1997139
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92118,san_diego_ca_r01,1,Region 1,0.13,32.6987955,-117.2091097
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92121,san_diego_ca_r01,1,Region 1,0.1,32.8971234,-117.2016472
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92122,san_diego_ca_r01,1,Region 1,0.19,32.8567981,-117.2101561
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92130,san_diego_ca_r01,1,Region 1,0.58,32.9476156,-117.2058249
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92672,san_diego_ca_r01,1,Region 1,0.32,33.3729358,-117.5209627
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91902,san_diego_ca_r02,2,Region 2,0.16,32.673217,-117.0061014
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91906,san_diego_ca_r02,2,Region 2,0.03,32.6580495,-116.4760421
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91910,san_diego_ca_r02,2,Region 2,0.23,32.6370962,-117.0617582
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91911,san_diego_ca_r02,2,Region 2,0.52,32.6073516,-117.0503597
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91913,san_diego_ca_r02,2,Region 2,0.42,32.6228947,-116.9868919
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91914,san_diego_ca_r02,2,Region 2,0.13,32.6660395,-116.9542404
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91915,san_diego_ca_r02,2,Region 2,0.19,32.6236021,-116.9498039
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91932,san_diego_ca_r02,2,Region 2,0.13,32.5653537,-117.1145672
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91941,san_diego_ca_r02,2,Region 2,0.23,32.7592661,-116.9970908
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91942,san_diego_ca_r02,2,Region 2,0.19,32.777267,-117.0213441
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91945,san_diego_ca_r02,2,Region 2,0.29,32.7331472,-117.0340676
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91950,san_diego_ca_r02,2,Region 2,0.23,32.6690667,-117.0934869
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91977,san_diego_ca_r02,2,Region 2,0.19,32.7262367,-116.9943176
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91978,san_diego_ca_r02,2,Region 2,0.1,32.6989207,-116.9309592
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92019,san_diego_ca_r02,2,Region 2,0.42,32.7788438,-116.871416
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92020,san_diego_ca_r02,2,Region 2,0.39,32.7956047,-116.969754
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92101,san_diego_ca_r02,2,Region 2,0.19,32.7178067,-117.1720862
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92102,san_diego_ca_r02,2,Region 2,0.13,32.715981,-117.1174946
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92103,san_diego_ca_r02,2,Region 2,0.29,32.7478157,-117.1673324
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92104,san_diego_ca_r02,2,Region 2,0.35,32.7419328,-117.127814
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92105,san_diego_ca_r02,2,Region 2,0.26,32.7404044,-117.089868
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92108,san_diego_ca_r02,2,Region 2,0.16,32.7739826,-117.1427063
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92111,san_diego_ca_r02,2,Region 2,0.35,32.8064823,-117.1689655
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92113,san_diego_ca_r02,2,Region 2,0.16,32.694637,-117.1197565
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92114,san_diego_ca_r02,2,Region 2,0.29,32.707751,-117.0552967
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92115,san_diego_ca_r02,2,Region 2,0.26,32.761549,-117.0719048
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92116,san_diego_ca_r02,2,Region 2,0.06,32.7648411,-117.1231244
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92120,san_diego_ca_r02,2,Region 2,0.23,32.7939936,-117.0737962
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92139,san_diego_ca_r02,2,Region 2,0.39,32.6800314,-117.0488864
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92154,san_diego_ca_r02,2,Region 2,0.45,32.5791012,-116.9665283
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92173,san_diego_ca_r02,2,Region 2,0.03,32.5555802,-117.0511954
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91901,san_diego_ca_r03,3,Region 3,0.1,32.8136236,-116.7269693
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,91962,san_diego_ca_r03,3,Region 3,0.03,32.8467665,-116.5197751
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92021,san_diego_ca_r03,3,Region 3,0.48,32.8357316,-116.8746171
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92025,san_diego_ca_r03,3,Region 3,0.29,33.0778135,-117.0331309
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92026,san_diego_ca_r03,3,Region 3,0.42,33.2109647,-117.1247883
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92027,san_diego_ca_r03,3,Region 3,0.39,33.1316014,-116.9769367
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92029,san_diego_ca_r03,3,Region 3,0.26,33.08553,-117.1239673
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92040,san_diego_ca_r03,3,Region 3,0.35,32.9089097,-116.8919717
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92064,san_diego_ca_r03,3,Region 3,0.65,32.9843523,-117.0135373
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92065,san_diego_ca_r03,3,Region 3,0.39,33.0403728,-116.830075
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92069,san_diego_ca_r03,3,Region 3,0.39,33.1753026,-117.1576205
260310\input\Service_202607071543_normalized_geocoded.csv,"San Diego, CA",3,92071,san_diego_ca_r03,3,Region 3,0.42,32.8506855,-116.995314
