baseline_service_file,STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,service_count,latitude,longitude
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20105,washington_dc_r01,1,Region 1,0.43,38.9531689,-77.6035937
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20109,washington_dc_r01,1,Region 1,0.17,38.7938977,-77.530962
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20110,washington_dc_r01,1,Region 1,0.06,38.7460706,-77.4876726
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20111,washington_dc_r01,1,Region 1,0.23,38.7489677,-77.4278735
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20115,washington_dc_r01,1,Region 1,0.03,38.8163073,-77.8895697
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20120,washington_dc_r01,1,Region 1,0.29,38.8569742,-77.4842191
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20121,washington_dc_r01,1,Region 1,0.17,38.8110335,-77.4629439
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20124,washington_dc_r01,1,Region 1,0.23,38.7813316,-77.3913325
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20132,washington_dc_r01,1,Region 1,0.17,39.165816,-77.7269452
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20136,washington_dc_r01,1,Region 1,0.29,38.7298337,-77.5441627
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20147,washington_dc_r01,1,Region 1,0.46,39.0419474,-77.4781301
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20148,washington_dc_r01,1,Region 1,0.71,38.993905,-77.5321955
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20151,washington_dc_r01,1,Region 1,0.2,38.897187,-77.4438744
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20152,washington_dc_r01,1,Region 1,0.37,38.899353,-77.5187056
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20155,washington_dc_r01,1,Region 1,0.17,38.806662,-77.6213569
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20164,washington_dc_r01,1,Region 1,0.17,39.0111035,-77.3968493
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20165,washington_dc_r01,1,Region 1,0.03,39.0575376,-77.392009
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20166,washington_dc_r01,1,Region 1,0.11,38.9700316,-77.464002
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20169,washington_dc_r01,1,Region 1,0.26,38.8720777,-77.6413832
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20170,washington_dc_r01,1,Region 1,0.23,38.9798421,-77.3797496
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20171,washington_dc_r01,1,Region 1,0.6,38.9268735,-77.3967746
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20175,washington_dc_r01,1,Region 1,0.37,39.0643984,-77.603768
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20176,washington_dc_r01,1,Region 1,0.43,39.1803229,-77.5334585
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20190,washington_dc_r01,1,Region 1,0.11,38.9591868,-77.34107
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20191,washington_dc_r01,1,Region 1,0.26,38.9333152,-77.3501175
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20194,washington_dc_r01,1,Region 1,0.06,38.9810409,-77.3407847
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20198,washington_dc_r01,1,Region 1,0.03,38.884142,-77.7445594
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20841,washington_dc_r01,1,Region 1,0.14,39.1819614,-77.3224701
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22030,washington_dc_r01,1,Region 1,0.43,38.8371855,-77.3404797
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22033,washington_dc_r01,1,Region 1,0.46,38.8752183,-77.3847133
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22124,washington_dc_r01,1,Region 1,0.17,38.8948706,-77.3295147
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22192,washington_dc_r01,1,Region 1,0.54,38.6842185,-77.3179418
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22611,washington_dc_r01,1,Region 1,0.06,39.1631919,-77.9854478
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20002,washington_dc_r02,2,Region 2,0.51,38.9050256,-76.9836072
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20003,washington_dc_r02,2,Region 2,0.14,38.88184,-76.9909398
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20005,washington_dc_r02,2,Region 2,0.03,38.9044378,-77.0315974
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20019,washington_dc_r02,2,Region 2,0.17,38.8922458,-76.9417718
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20024,washington_dc_r02,2,Region 2,0.06,38.8705434,-77.0268258
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20037,washington_dc_r02,2,Region 2,0.03,38.8924593,-77.0538112
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20735,washington_dc_r02,2,Region 2,0.2,38.7509174,-76.902669
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20743,washington_dc_r02,2,Region 2,0.34,38.883854,-76.8942318
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20744,washington_dc_r02,2,Region 2,0.49,38.745892,-76.9832014
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20745,washington_dc_r02,2,Region 2,0.03,38.805571,-76.9946544
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20746,washington_dc_r02,2,Region 2,0.06,38.8364025,-76.918265
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20747,washington_dc_r02,2,Region 2,0.06,38.8533085,-76.8830285
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20748,washington_dc_r02,2,Region 2,0.11,38.8148678,-76.933447
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20772,washington_dc_r02,2,Region 2,0.49,38.7802744,-76.7669897
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,20774,washington_dc_r02,2,Region 2,0.29,38.8762553,-76.7696026
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22003,washington_dc_r02,2,Region 2,0.2,38.8302613,-77.214454
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22015,washington_dc_r02,2,Region 2,0.46,38.7860235,-77.2800146
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22027,washington_dc_r02,2,Region 2,0.03,38.8948532,-77.2230482
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22031,washington_dc_r02,2,Region 2,0.11,38.8589199,-77.260273
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22032,washington_dc_r02,2,Region 2,0.2,38.8176733,-77.2902217
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22039,washington_dc_r02,2,Region 2,0.09,38.7485768,-77.3144934
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22041,washington_dc_r02,2,Region 2,0.17,38.8493213,-77.1414717
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22042,washington_dc_r02,2,Region 2,0.03,38.8651427,-77.1939133
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22043,washington_dc_r02,2,Region 2,0.14,38.901488,-77.1974239
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22044,washington_dc_r02,2,Region 2,0.06,38.8620439,-77.1543717
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22046,washington_dc_r02,2,Region 2,0.17,38.8863344,-77.1809752
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22060,washington_dc_r02,2,Region 2,0.03,38.6993531,-77.1574972
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22079,washington_dc_r02,2,Region 2,0.34,38.6757353,-77.2038396
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22150,washington_dc_r02,2,Region 2,0.23,38.7728635,-77.1865229
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22151,washington_dc_r02,2,Region 2,0.06,38.8040933,-77.2078041
260310\input\Service_202607071543_normalized_geocoded.csv,"Washington, DC",3,22152,washington_dc_r02,2,Region 2,0.17,38.7744932,-77.2320292
