technician_id,region_code,active,policy_mode,effective_from,effective_to
AI102448,Zone 1,true,home_distance_only,,
AI102087,Zone 1,true,home_distance_only,,
AI105116,Zone 1,true,home_distance_only,,
AI103146,Zone 2,true,home_distance_only,,
AI102608,Zone 2,true,home_distance_only,,
AI102977,Zone 2,true,home_distance_only,,
AI103128,Zone 3,true,home_distance_only,,
AI103261,Zone 4,true,home_distance_only,,
AI103317,Zone 4,true,home_distance_only,,
AI005576,Zone 4,true,home_distance_only,,
AI103264,Zone 5,true,home_distance_only,,
AI102961,Zone 5,true,home_distance_only,,
AI102315,Zone 5,true,home_distance_only,,
