region_code,region_name,region_seq,postal_code,area_type,required_center_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30002,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r04,Atlanta_Zone 4,4,30002,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r06,Atlanta_PO Box,6,30003,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r02,Atlanta_Zone 2,2,30004,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30005,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r02,Atlanta_Zone 2,2,30005,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r06,Atlanta_PO Box,6,30006,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r01,Atlanta_Zone 1,1,30007,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r02,Atlanta_Zone 2,2,30007,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r01,Atlanta_Zone 1,1,30008,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r02,Atlanta_Zone 2,2,30009,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r06,Atlanta_PO Box,6,30010,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30011,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30012,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r04,Atlanta_Zone 4,4,30012,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30013,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r04,Atlanta_Zone 4,4,30013,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r04,Atlanta_Zone 4,4,30014,DMS,DMS,1,True,False,,
atlanta_6area_overlab_r05,Atlanta_Zone 5,5,30014,DMS,DMS,2,False,True,4500,explicit duplicate postal membership from Area Map source
atlanta_6area_overlab_r06,Atlanta_PO Box,6,30015,DMS,DMS,1,True,False,,
