technician_id,region_code,active,policy_mode,effective_from,effective_to
AI102448,atlanta_6area_overlab_r01,true,,,
AI102087,atlanta_6area_overlab_r01,true,,,
AI105116,atlanta_6area_overlab_r01,true,,,
AI103146,atlanta_6area_overlab_r02,true,,,
AI102608,atlanta_6area_overlab_r02,true,,,
AI102977,atlanta_6area_overlab_r02,true,,,
AI103128,atlanta_6area_overlab_r03,true,,,
AI103261,atlanta_6area_overlab_r04,true,,,
AI103317,atlanta_6area_overlab_r04,true,,,
AI005576,atlanta_6area_overlab_r04,true,,,
AI103264,atlanta_6area_overlab_r05,true,,,
AI102961,atlanta_6area_overlab_r05,true,,,
AI102315,atlanta_6area_overlab_r05,true,,,
AI105115,atlanta_6area_overlab_r04,true,,,
