POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30002,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30004,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30005,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30007,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30008,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30009,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30011,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30012,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30013,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30014,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30016,Atlanta_6area,atlanta_6area_r04,4,Zone 4,Atlanta_6area Zone 4,DMS
30017,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30018,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30019,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30021,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
30022,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30023,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30024,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30025,Atlanta_6area,atlanta_6area_r05,5,Zone 5,Atlanta_6area Zone 5,DMS
