subsidiary_name,strategic_city_name,plan_id,postal_code,region_id,region_seq,area_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30002,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30004,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30005,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30007,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30008,atlanta_6area_r01,1,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30009,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30011,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30012,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30013,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30014,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30016,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30017,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30018,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30019,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30021,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30022,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30023,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30024,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30025,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30028,atlanta_6area_r03,3,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30030,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30032,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30033,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30034,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30035,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30037,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30038,atlanta_6area_r04,4,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30039,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30040,atlanta_6area_r03,3,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30041,atlanta_6area_r03,3,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30043,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30044,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30045,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30046,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30047,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30052,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30054,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30055,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30056,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30058,atlanta_6area_r05,5,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30060,atlanta_6area_r01,1,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30062,atlanta_6area_r02,2,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30063,atlanta_6area_r01,1,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30064,atlanta_6area_r01,1,DMS,1,true,false,,
LGEAI,Atlanta_6area,legacy_atlanta_6area_fixed_region_postal_atlanta_6area_6_dms_v2_v1,30065,atlanta_6area_r02,2,DMS,1,true,false,,
