baseline_service_file,STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,service_count,latitude,longitude
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30004,atlanta_ga_r01,1,Region 1,0.63,34.12172338136227,-84.27637551396327
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30005,atlanta_ga_r01,1,Region 1,0.42,34.0807985709421,-84.20881604748907
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30009,atlanta_ga_r01,1,Region 1,0.12,34.08249948495637,-84.30085019314163
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30022,atlanta_ga_r01,1,Region 1,0.53,34.035458267057955,-84.23766439511917
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30024,atlanta_ga_r01,1,Region 1,0.7,34.076526834529936,-84.1040432699875
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30028,atlanta_ga_r01,1,Region 1,0.16,34.28968345000671,-84.17958810862001
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30040,atlanta_ga_r01,1,Region 1,0.72,34.204694961161465,-84.18990493791355
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30041,atlanta_ga_r01,1,Region 1,0.79,34.15999540688106,-84.12998566510272
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30043,atlanta_ga_r01,1,Region 1,0.47,34.00857987748232,-84.0233872028543
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30044,atlanta_ga_r01,1,Region 1,0.65,33.9182558834253,-84.05924694680326
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30047,atlanta_ga_r01,1,Region 1,0.35,33.87939311746075,-84.11374283983582
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30071,atlanta_ga_r01,1,Region 1,0.05,33.94094292666,-84.205751186836
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30075,atlanta_ga_r01,1,Region 1,0.37,34.05278320721854,-84.38711095698112
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30076,atlanta_ga_r01,1,Region 1,0.12,34.0238263441366,-84.3086177609094
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30084,atlanta_ga_r01,1,Region 1,0.23,33.86145168946056,-84.20148828173588
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30092,atlanta_ga_r01,1,Region 1,0.09,33.970857082756,-84.22495852521524
260310\input\Service_202605291521_normalized_geocoded.csv,"Atlanta, GA",4,30093,atlanta_ga_r01,1,Region 1,0.07,33.906139448893,-84.16858750455434
