region_code,region_name,region_seq,postal_code,area_type,required_center_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
philadelphia_pa_r01,Region 1,1,08085,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19008,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19010,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19013,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19014,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19015,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19033,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19041,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19060,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19061,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19063,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19064,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19073,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19078,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19085,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19086,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19087,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19094,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19312,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19317,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19342,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19373,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19401,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19403,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19405,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19406,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19701,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19702,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19703,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19707,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19709,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19711,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19713,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19720,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19801,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19802,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19803,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19804,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19805,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19806,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19808,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19809,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,19810,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,21901,,,1,true,false,,
philadelphia_pa_r01,Region 1,1,21921,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08002,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08003,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08007,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08009,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08012,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08020,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08021,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08028,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08029,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08030,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08031,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08033,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08034,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08035,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08043,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08045,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08049,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08051,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08056,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08059,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08062,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08071,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08078,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08080,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08081,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08083,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08084,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08086,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08090,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08091,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08093,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08094,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08096,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08103,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08105,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08106,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08108,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,08109,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19018,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19023,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19026,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19032,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19036,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19050,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19074,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19082,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19083,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19103,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19106,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19123,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19125,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19130,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19139,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19142,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19143,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19145,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19146,,,1,true,false,,
philadelphia_pa_r02,Region 2,2,19147,,,1,true,false,,
