STRATEGIC_CITY_NAME,candidate_region_count,POSTAL_CODE,region_id,region_seq,AREA_NAME,new_region_name,area_type,service_count,relevant_calls,dms_calls,dms2_calls,asc_calls,dms_share_zip,dms_fit_score,density_raw,dms_avg_distance_km,distance_to_density_center_km,nearest_dms_home_distance_km,nearest_dms_home_code,is_dms_home_anchor,density_center_latitude,density_center_longitude,density_center_postal_code,latitude,longitude
"San Diego, CA",3,91902,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,5,5,5,0,0,1.0,0.8727768960686149,5.095818697070661,29.132540191987523,11.74891462162325,8.241374938906668,AI103904,False,32.75558323227425,-117.065463157355,92115,32.6619843305388,-117.00720016826999
"San Diego, CA",3,91911,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,16,16,14,2,0,0.875,0.8815164236292875,10.554963029758879,30.81858389993997,15.769058292715807,3.6430350441201225,AI103904,True,32.75558323227425,-117.065463157355,92115,32.61399204282331,-117.05601424616643
"San Diego, CA",3,91913,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,13,13,8,5,0,0.6153846153846154,0.6520867334330609,7.348226918539798,31.753104737212034,16.392244318362682,5.107313403109985,AI103904,False,32.75558323227425,-117.065463157355,92115,32.62241193234462,-116.99033679173569
"San Diego, CA",3,91932,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,4,4,4,0,0,1.0,0.8951737355480627,7.1835410076478015,34.69439455251946,20.57719238123516,8.81138687305547,AI103904,False,32.75558323227425,-117.065463157355,92115,32.576733398303254,-117.12191037425025
"San Diego, CA",3,91942,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,6,6,2,4,0,0.3333333333333333,0.4107871869786148,5.209478100594258,24.679255586521222,4.492669989443274,2.6030568162331944,AI105036,False,32.75558323227425,-117.065463157355,92115,32.78352736069934,-117.03075840406349
"San Diego, CA",3,91978,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,3,3,2,1,0,0.6666666666666666,0.7197836880054528,12.0,27.78989141918228,9.658933647740591,7.139740796811442,AI103162,True,32.75558323227425,-117.065463157355,92115,32.737225890047,-116.96451727185934
"San Diego, CA",3,92020,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,12,12,11,1,0,0.9166666666666666,0.8270241001992793,4.589914821845884,26.22128568322012,9.774485124536847,1.439958311882944,AI103162,False,32.75558323227425,-117.065463157355,92115,32.79122929234884,-116.96989894210473
"San Diego, CA",3,92021,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,15,15,13,2,0,0.8666666666666667,0.7963832172966362,4.339666761443317,29.285083881935563,15.599995147593559,4.527416213498672,AI103162,False,32.75558323227425,-117.065463157355,92115,32.82034945695694,-116.91742864265069
"San Diego, CA",3,92025,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,9,9,9,0,0,1.0,0.9072231782077435,7.100444405666944,35.25497454068188,38.68695349566808,5.437896252000973,AI103462,False,32.75558323227425,-117.065463157355,92115,33.103486194589664,-117.06952312542356
"San Diego, CA",3,92027,san_diego_ca_r01,1,DMS Region 1,DMS Region 1,DMS_CORE,12,12,10,2,0,0.8333333333333334,0.8137765868550776,8.364256652363274,37.40794947406207,42.45890167689487,1.5547554767331058,AI103462,False,32.75558323227425,-117.065463157355,92115,33.13738596703667,-117.05897549398884
