region_code,region_name,region_seq,postal_code,area_type,required_center_type,membership_rank,is_primary,overflow_allowed,overflow_penalty_minutes,overflow_reason
washington_dc_r01,Region 1,1,20105,,,1,true,false,,
washington_dc_r01,Region 1,1,20109,,,1,true,false,,
washington_dc_r01,Region 1,1,20110,,,1,true,false,,
washington_dc_r01,Region 1,1,20111,,,1,true,false,,
washington_dc_r01,Region 1,1,20115,,,1,true,false,,
washington_dc_r01,Region 1,1,20120,,,1,true,false,,
washington_dc_r01,Region 1,1,20121,,,1,true,false,,
washington_dc_r01,Region 1,1,20124,,,1,true,false,,
washington_dc_r01,Region 1,1,20132,,,1,true,false,,
washington_dc_r01,Region 1,1,20136,,,1,true,false,,
washington_dc_r01,Region 1,1,20147,,,1,true,false,,
washington_dc_r01,Region 1,1,20148,,,1,true,false,,
washington_dc_r01,Region 1,1,20151,,,1,true,false,,
washington_dc_r01,Region 1,1,20152,,,1,true,false,,
washington_dc_r01,Region 1,1,20155,,,1,true,false,,
washington_dc_r01,Region 1,1,20164,,,1,true,false,,
washington_dc_r01,Region 1,1,20165,,,1,true,false,,
washington_dc_r01,Region 1,1,20166,,,1,true,false,,
washington_dc_r01,Region 1,1,20169,,,1,true,false,,
washington_dc_r01,Region 1,1,20170,,,1,true,false,,
washington_dc_r01,Region 1,1,20171,,,1,true,false,,
washington_dc_r01,Region 1,1,20175,,,1,true,false,,
washington_dc_r01,Region 1,1,20176,,,1,true,false,,
washington_dc_r01,Region 1,1,20190,,,1,true,false,,
washington_dc_r01,Region 1,1,20191,,,1,true,false,,
washington_dc_r01,Region 1,1,20194,,,1,true,false,,
washington_dc_r01,Region 1,1,20198,,,1,true,false,,
washington_dc_r01,Region 1,1,20841,,,1,true,false,,
washington_dc_r01,Region 1,1,22030,,,1,true,false,,
washington_dc_r01,Region 1,1,22033,,,1,true,false,,
washington_dc_r01,Region 1,1,22124,,,1,true,false,,
washington_dc_r01,Region 1,1,22192,,,1,true,false,,
washington_dc_r01,Region 1,1,22611,,,1,true,false,,
washington_dc_r02,Region 2,2,20002,,,1,true,false,,
washington_dc_r02,Region 2,2,20003,,,1,true,false,,
washington_dc_r02,Region 2,2,20005,,,1,true,false,,
washington_dc_r02,Region 2,2,20019,,,1,true,false,,
washington_dc_r02,Region 2,2,20024,,,1,true,false,,
washington_dc_r02,Region 2,2,20037,,,1,true,false,,
washington_dc_r02,Region 2,2,20735,,,1,true,false,,
washington_dc_r02,Region 2,2,20743,,,1,true,false,,
washington_dc_r02,Region 2,2,20744,,,1,true,false,,
washington_dc_r02,Region 2,2,20745,,,1,true,false,,
washington_dc_r02,Region 2,2,20746,,,1,true,false,,
washington_dc_r02,Region 2,2,20747,,,1,true,false,,
washington_dc_r02,Region 2,2,20748,,,1,true,false,,
washington_dc_r02,Region 2,2,20772,,,1,true,false,,
washington_dc_r02,Region 2,2,20774,,,1,true,false,,
washington_dc_r02,Region 2,2,22003,,,1,true,false,,
washington_dc_r02,Region 2,2,22015,,,1,true,false,,
washington_dc_r02,Region 2,2,22027,,,1,true,false,,
washington_dc_r02,Region 2,2,22031,,,1,true,false,,
washington_dc_r02,Region 2,2,22032,,,1,true,false,,
washington_dc_r02,Region 2,2,22039,,,1,true,false,,
washington_dc_r02,Region 2,2,22041,,,1,true,false,,
washington_dc_r02,Region 2,2,22042,,,1,true,false,,
washington_dc_r02,Region 2,2,22043,,,1,true,false,,
washington_dc_r02,Region 2,2,22044,,,1,true,false,,
washington_dc_r02,Region 2,2,22046,,,1,true,false,,
washington_dc_r02,Region 2,2,22060,,,1,true,false,,
washington_dc_r02,Region 2,2,22079,,,1,true,false,,
washington_dc_r02,Region 2,2,22150,,,1,true,false,,
washington_dc_r02,Region 2,2,22151,,,1,true,false,,
washington_dc_r02,Region 2,2,22152,,,1,true,false,,
washington_dc_r02,Region 2,2,22153,,,1,true,false,,
washington_dc_r02,Region 2,2,22180,,,1,true,false,,
washington_dc_r02,Region 2,2,22201,,,1,true,false,,
washington_dc_r02,Region 2,2,22202,,,1,true,false,,
washington_dc_r02,Region 2,2,22203,,,1,true,false,,
washington_dc_r02,Region 2,2,22204,,,1,true,false,,
washington_dc_r02,Region 2,2,22205,,,1,true,false,,
washington_dc_r02,Region 2,2,22206,,,1,true,false,,
washington_dc_r02,Region 2,2,22209,,,1,true,false,,
washington_dc_r02,Region 2,2,22213,,,1,true,false,,
washington_dc_r02,Region 2,2,22301,,,1,true,false,,
washington_dc_r02,Region 2,2,22303,,,1,true,false,,
washington_dc_r02,Region 2,2,22304,,,1,true,false,,
washington_dc_r02,Region 2,2,22306,,,1,true,false,,
washington_dc_r02,Region 2,2,22307,,,1,true,false,,
washington_dc_r02,Region 2,2,22308,,,1,true,false,,
washington_dc_r02,Region 2,2,22309,,,1,true,false,,
washington_dc_r02,Region 2,2,22310,,,1,true,false,,
washington_dc_r02,Region 2,2,22311,,,1,true,false,,
washington_dc_r02,Region 2,2,22312,,,1,true,false,,
washington_dc_r02,Region 2,2,22314,,,1,true,false,,
washington_dc_r02,Region 2,2,22315,,,1,true,false,,
washington_dc_r03,Region 3,3,20001,,,1,true,false,,
washington_dc_r03,Region 3,3,20007,,,1,true,false,,
washington_dc_r03,Region 3,3,20009,,,1,true,false,,
washington_dc_r03,Region 3,3,20010,,,1,true,false,,
washington_dc_r03,Region 3,3,20011,,,1,true,false,,
washington_dc_r03,Region 3,3,20012,,,1,true,false,,
washington_dc_r03,Region 3,3,20015,,,1,true,false,,
washington_dc_r03,Region 3,3,20016,,,1,true,false,,
washington_dc_r03,Region 3,3,20017,,,1,true,false,,
washington_dc_r03,Region 3,3,20018,,,1,true,false,,
washington_dc_r03,Region 3,3,20036,,,1,true,false,,
washington_dc_r03,Region 3,3,20706,,,1,true,false,,
washington_dc_r03,Region 3,3,20721,,,1,true,false,,
washington_dc_r03,Region 3,3,20722,,,1,true,false,,
washington_dc_r03,Region 3,3,20737,,,1,true,false,,
washington_dc_r03,Region 3,3,20782,,,1,true,false,,
washington_dc_r03,Region 3,3,20784,,,1,true,false,,
washington_dc_r03,Region 3,3,20785,,,1,true,false,,
washington_dc_r03,Region 3,3,20814,,,1,true,false,,
washington_dc_r03,Region 3,3,20815,,,1,true,false,,
washington_dc_r03,Region 3,3,20816,,,1,true,false,,
washington_dc_r03,Region 3,3,20817,,,1,true,false,,
washington_dc_r03,Region 3,3,20818,,,1,true,false,,
washington_dc_r03,Region 3,3,20832,,,1,true,false,,
washington_dc_r03,Region 3,3,20850,,,1,true,false,,
washington_dc_r03,Region 3,3,20851,,,1,true,false,,
washington_dc_r03,Region 3,3,20852,,,1,true,false,,
washington_dc_r03,Region 3,3,20853,,,1,true,false,,
washington_dc_r03,Region 3,3,20854,,,1,true,false,,
washington_dc_r03,Region 3,3,20855,,,1,true,false,,
washington_dc_r03,Region 3,3,20871,,,1,true,false,,
washington_dc_r03,Region 3,3,20874,,,1,true,false,,
washington_dc_r03,Region 3,3,20876,,,1,true,false,,
washington_dc_r03,Region 3,3,20877,,,1,true,false,,
washington_dc_r03,Region 3,3,20878,,,1,true,false,,
washington_dc_r03,Region 3,3,20879,,,1,true,false,,
washington_dc_r03,Region 3,3,20882,,,1,true,false,,
washington_dc_r03,Region 3,3,20886,,,1,true,false,,
washington_dc_r03,Region 3,3,20895,,,1,true,false,,
washington_dc_r03,Region 3,3,20902,,,1,true,false,,
washington_dc_r03,Region 3,3,20906,,,1,true,false,,
washington_dc_r03,Region 3,3,20910,,,1,true,false,,
washington_dc_r03,Region 3,3,20912,,,1,true,false,,
washington_dc_r03,Region 3,3,22066,,,1,true,false,,
washington_dc_r03,Region 3,3,22101,,,1,true,false,,
washington_dc_r03,Region 3,3,22102,,,1,true,false,,
washington_dc_r03,Region 3,3,22181,,,1,true,false,,
washington_dc_r03,Region 3,3,22182,,,1,true,false,,
washington_dc_r03,Region 3,3,22207,,,1,true,false,,
