city,route_bucket,group_count,success_group_count,failed_group_count,success_rate,input_row_count,service_count,total_distance_km_success_only,total_duration_min_success_only,avg_distance_km_per_successful_group,avg_duration_min_per_successful_group,home_found_group_count,cache_hit_group_count
"Atlanta, GA",DMS,256.0,256.0,0.0,1.0,882.0,882.0,23668.3523,25478.24833333333,92.454501171875,99.52440755208332,256.0,0.0
"Atlanta, GA",DMS2,40.0,40.0,0.0,1.0,99.0,99.0,1697.1059,1816.4299999999998,42.4276475,45.41074999999999,0.0,0.0
"Los Angeles, CA",ASC,16.0,16.0,0.0,1.0,20.0,20.0,147.7595,129.39333333333335,9.23496875,8.087083333333334,0.0,0.0
"Los Angeles, CA",DMS,545.0,545.0,0.0,1.0,1962.0,1962.0,29684.0443,31258.83666666667,54.46613633027523,57.35566360856269,502.0,0.0
"Los Angeles, CA",DMS2,466.0,466.0,0.0,1.0,1456.0,1456.0,20535.9864,20051.233333333334,44.068640343347646,43.028397711015735,0.0,0.0
"North Jersey, NJ",ASC,48.0,48.0,0.0,1.0,196.0,196.0,2453.6504,2811.1949999999997,51.11771666666667,58.566562499999996,0.0,0.0
"North Jersey, NJ",DMS,199.0,199.0,0.0,1.0,679.0,679.0,9741.4673,10955.408333333333,48.95209698492462,55.052303182579564,198.0,0.0
"North Jersey, NJ",DMS2,561.0,561.0,0.0,1.0,1676.0,1676.0,16332.025599999999,18843.025,29.112345098039214,33.58827985739751,0.0,0.0
"North Jersey, NJ",MIXED,5.0,5.0,0.0,1.0,51.0,51.0,305.928,472.52333333333337,61.1856,94.50466666666668,0.0,0.0
"Philadelphia, PA",ASC,10.0,9.0,1.0,0.9,25.0,25.0,532.3308,583.7483333333333,59.14786666666666,64.86092592592593,0.0,0.0
"Philadelphia, PA",DMS,134.0,132.0,2.0,0.9850746268656716,391.0,391.0,6048.6511,7568.683333333333,45.82311439393939,57.3385101010101,96.0,0.0
"Philadelphia, PA",DMS2,111.0,111.0,0.0,1.0,298.0,298.0,4570.6786,5170.1466666666665,41.177284684684686,46.5778978978979,0.0,0.0
"San Diego, CA",DMS,172.0,172.0,0.0,1.0,564.0,564.0,8180.894399999999,8658.29,47.56333953488372,50.33889534883721,172.0,0.0
"San Diego, CA",DMS2,57.0,57.0,0.0,1.0,119.0,119.0,1440.8673999999999,1374.2499999999998,25.278375438596488,24.109649122807014,0.0,0.0
"Washington, DC",ASC,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"Washington, DC",DMS,94.0,80.0,14.0,0.851063829787234,246.0,246.0,971.7503,1493.8866666666668,12.14687875,18.673583333333333,64.0,0.0
"Washington, DC",DMS2,136.0,130.0,6.0,0.9558823529411765,613.0,613.0,2182.7983,3581.1116666666667,16.790756153846154,27.54701282051282,0.0,0.0
