size,requests,success,failed,success_rate,scenario_elapsed_sec,throughput_rps,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_max_ms,response_bytes_avg,errors
100,100,100,0,1.0,1.257580199977383,79.51779139159352,882.2474089963362,884.9129501031712,1146.4117700234056,1181.7118998151273,22204,{}
200,100,100,0,1.0,2.070827499963343,48.28987445925368,1398.7837970117107,1418.0831999983639,1943.5709049343131,2004.4232998043299,44316,{}
300,100,100,0,1.0,2.849968499969691,35.088107114539504,1828.0025229998864,1800.4702500766143,2692.718759912532,2796.379999956116,66256,{}
400,100,100,0,1.0,3.6548917999025434,27.36059108580628,2235.7973419944756,2216.58930007834,3453.145300084725,3584.9852999672294,88364,{}
500,100,100,0,1.0,4.7095398001838475,21.233497165921875,2916.3503740006126,2874.6145500335842,4507.1730148396455,4651.716399937868,110336,{}
600,100,100,0,1.0,6.035500899888575,16.568633102489663,5749.609392986167,5760.559699963778,5964.008484990336,6016.539699863642,132457,{}
700,100,100,0,1.0,7.145375699969009,13.995065368002095,6815.7494260021485,6852.075699949637,7046.630129904952,7135.322199901566,154627,{}
800,100,100,0,1.0,8.296802599914372,12.052835872102351,7991.221368997358,8058.364599943161,8250.106274988502,8260.018999921158,176928,{}
900,100,100,0,1.0,9.487669599941,10.539996038713433,9131.781819006428,9147.272449918091,9421.395009930711,9464.315399993211,199090,{}
1000,100,100,0,1.0,10.703222000040114,9.342981020072761,10130.399491996504,10140.375350019895,10420.351309934631,10663.492599967867,221385,{}
